ticket_id,order_id,ticket_status,message,channel
T500053,O217018,Open,"the tent O217018 leaked on first use, very disappointed",chat
T500054,O209924,open,"Order O209924 arrived damaged, the zip is broken",chat
T500055,O217558,Open,"Great service, jacket fits perfectly. thanks",chat
T500056,O201669,closed,"Great service, jacket fits perfectly. thanks",chat
T500057,,open,"Cancel order O203632 please, ordered by mistake",email
T500058,O211411,Open,"the tent O211411 leaked on first use, very disappointed",email
T500059,O216395,closed,  RETURN REQUEST: item not as described  ,phone
T500060,O202995,Open,Can I change the delivery address for O202995?,email
T500061,O206582,pending,"Order O206582 arrived damaged, the zip is broken",chat
T500062,O214486,closed,"I want a refund for O214486, wrong size delivered",phone
T500063,O221827,closed,"Order O221827 arrived damaged, the zip is broken",chat
T500064,O214206,Open,"Order O214206 arrived damaged, the zip is broken",email
T500065,O202415,pending,  RETURN REQUEST: item not as described  ,chat
T500066,O218887,Open,"the tent O218887 leaked on first use, very disappointed",chat
T500067,O220120,pending,"the tent O220120 leaked on first use, very disappointed",email
T500068,O214908,open,"the tent O214908 leaked on first use, very disappointed",chat
T500069,O217687,Open,Can I change the delivery address for O217687?,phone
T500070,O209903,pending,  RETURN REQUEST: item not as described  ,chat
T500071,O201301,closed,"Cancel order O201301 please, ordered by mistake",chat
T500072,O219792,closed,  RETURN REQUEST: item not as described  ,chat
T500073,,pending,"Cancel order O209316 please, ordered by mistake",phone
T500074,O203079,open,"the tent O203079 leaked on first use, very disappointed",phone
T500075,O204205,Open,"the tent O204205 leaked on first use, very disappointed",chat
T500076,O216719,pending,  RETURN REQUEST: item not as described  ,phone
T500077,O220235,closed,"Order O220235 arrived damaged, the zip is broken",chat
T500078,O212595,open,"Order O212595 arrived damaged, the zip is broken",chat
T500079,O225734,closed,"Order O225734 arrived damaged, the zip is broken",phone
T500080,O210708,closed,"Cancel order O210708 please, ordered by mistake",email
T500081,O204643,Open,"the tent O204643 leaked on first use, very disappointed",chat
T500082,O223365,pending,"I want a refund for O223365, wrong size delivered",phone
T500083,O205060,open,"Great service, jacket fits perfectly. thanks",phone
T500084,O223864,open,Where is my order O223864?? It is 2 weeks late!!!,email
T500085,O220552,pending,"Cancel order O220552 please, ordered by mistake",phone
T500086,O207108,Open,"the tent O207108 leaked on first use, very disappointed",email
T500087,O213708,Open,  RETURN REQUEST: item not as described  ,chat
T500088,O208017,Open,"Great service, jacket fits perfectly. thanks",phone
T500089,O211471,Open,"Order O211471 arrived damaged, the zip is broken",chat
T500090,O207941,closed,"Great service, jacket fits perfectly. thanks",email
T500091,O214420,open,  RETURN REQUEST: item not as described  ,email
T500092,O209348,open,Where is my order O209348?? It is 2 weeks late!!!,chat
T500093,O217773,pending,"the tent O217773 leaked on first use, very disappointed",chat
T500094,O218782,open,"Great service, jacket fits perfectly. thanks",chat
T500095,O206177,closed,"Cancel order O206177 please, ordered by mistake",email
T500096,O220790,pending,Where is my order O220790?? It is 2 weeks late!!!,phone
T500097,O210242,pending,"I want a refund for O210242, wrong size delivered",chat
T500098,O210272,Open,Can I change the delivery address for O210272?,email
T500099,O207873,pending,Where is my order O207873?? It is 2 weeks late!!!,chat
T500100,O217191,closed,Can I change the delivery address for O217191?,phone
T500101,O203780,open,"the tent O203780 leaked on first use, very disappointed",email
T500102,O215727,Open,Where is my order O215727?? It is 2 weeks late!!!,phone
T500103,O201496,open,"I want a refund for O201496, wrong size delivered",phone
T500104,O222274,open,"I want a refund for O222274, wrong size delivered",phone
T500105,O218195,pending,"I want a refund for O218195, wrong size delivered",phone
T500106,O213555,closed,Can I change the delivery address for O213555?,email
T500107,O220237,pending,Can I change the delivery address for O220237?,chat
T500108,O223993,Open,"Great service, jacket fits perfectly. thanks",phone
T500109,O208156,closed,Where is my order O208156?? It is 2 weeks late!!!,chat
T500110,O220042,pending,Where is my order O220042?? It is 2 weeks late!!!,phone
T500111,O220931,open,"the tent O220931 leaked on first use, very disappointed",email
T500112,O209886,pending,  RETURN REQUEST: item not as described  ,phone
T500113,O201691,Open,"I want a refund for O201691, wrong size delivered",chat
T500114,O200413,Open,"Great service, jacket fits perfectly. thanks",chat
T500115,O202881,closed,Can I change the delivery address for O202881?,chat
T500116,O204099,open,"Order O204099 arrived damaged, the zip is broken",email
T500117,O222792,Open,"Order O222792 arrived damaged, the zip is broken",phone
T500118,O213700,closed,"Cancel order O213700 please, ordered by mistake",phone
T500119,O206733,open,"I want a refund for O206733, wrong size delivered",email
T500120,O224895,closed,Where is my order O224895?? It is 2 weeks late!!!,phone
T500121,O204043,open,"Cancel order O204043 please, ordered by mistake",email
T500122,O202255,pending,"the tent O202255 leaked on first use, very disappointed",chat
T500123,O214395,closed,Where is my order O214395?? It is 2 weeks late!!!,phone
T500124,O217050,Open,Can I change the delivery address for O217050?,chat
T500125,O212161,closed,"Great service, jacket fits perfectly. thanks",chat
T500126,O208193,Open,"Great service, jacket fits perfectly. thanks",email
T500127,O211210,Open,"Order O211210 arrived damaged, the zip is broken",phone
T500128,O220621,open,Can I change the delivery address for O220621?,email
T500129,O203734,open,  RETURN REQUEST: item not as described  ,email
T500130,O213791,closed,Where is my order O213791?? It is 2 weeks late!!!,email
T500131,O207437,closed,  RETURN REQUEST: item not as described  ,email
T500132,O223203,pending,"Order O223203 arrived damaged, the zip is broken",email
T500133,O212891,Open,"Cancel order O212891 please, ordered by mistake",chat
T500134,O208980,open,  RETURN REQUEST: item not as described  ,email
T500135,O217663,closed,  RETURN REQUEST: item not as described  ,chat
T500136,O225172,closed,"the tent O225172 leaked on first use, very disappointed",phone
T500137,,closed,"I want a refund for O220951, wrong size delivered",phone
T500138,O212785,closed,  RETURN REQUEST: item not as described  ,email
T500139,O211287,Open,"Great service, jacket fits perfectly. thanks",chat
T500140,O204766,Open,"Cancel order O204766 please, ordered by mistake",phone
T500141,O208643,Open,Can I change the delivery address for O208643?,email
T500142,O200450,closed,  RETURN REQUEST: item not as described  ,chat
T500143,O217840,closed,Can I change the delivery address for O217840?,chat
T500144,O220253,closed,"Great service, jacket fits perfectly. thanks",phone
T500145,O215339,pending,Can I change the delivery address for O215339?,email
T500146,O200940,Open,"Great service, jacket fits perfectly. thanks",email
T500147,O204568,Open,Where is my order O204568?? It is 2 weeks late!!!,chat
T500148,O211633,pending,"Great service, jacket fits perfectly. thanks",chat
T500149,O222169,open,"I want a refund for O222169, wrong size delivered",phone
T500150,O202638,closed,"the tent O202638 leaked on first use, very disappointed",chat
T500151,O211074,Open,  RETURN REQUEST: item not as described  ,chat
T500152,O210846,open,"Great service, jacket fits perfectly. thanks",chat
T500153,O201019,pending,"Cancel order O201019 please, ordered by mistake",phone
T500154,O216489,pending,"the tent O216489 leaked on first use, very disappointed",phone
T500155,O202349,open,"Great service, jacket fits perfectly. thanks",email
T500156,O215056,Open,"Order O215056 arrived damaged, the zip is broken",chat
T500157,O214481,Open,"I want a refund for O214481, wrong size delivered",email
T500158,O210856,pending,Where is my order O210856?? It is 2 weeks late!!!,phone
T500159,O201653,closed,"I want a refund for O201653, wrong size delivered",phone
T500160,O200216,closed,"Great service, jacket fits perfectly. thanks",chat
T500161,,open,"the tent O217195 leaked on first use, very disappointed",chat
T500162,O220348,pending,"Order O220348 arrived damaged, the zip is broken",chat
T500163,O222768,closed,"I want a refund for O222768, wrong size delivered",chat
T500164,O209992,Open,"Cancel order O209992 please, ordered by mistake",chat
T500165,O216711,closed,Where is my order O216711?? It is 2 weeks late!!!,email
T500166,O219355,Open,  RETURN REQUEST: item not as described  ,email
T500167,O220939,closed,Where is my order O220939?? It is 2 weeks late!!!,phone
T500168,,pending,Where is my order O209473?? It is 2 weeks late!!!,chat
T500169,,closed,Can I change the delivery address for O220567?,chat
T500170,O224046,pending,"Cancel order O224046 please, ordered by mistake",chat
T500171,,pending,"I want a refund for O203191, wrong size delivered",phone
T500172,O222949,pending,"the tent O222949 leaked on first use, very disappointed",email
T500173,O216143,Open,"the tent O216143 leaked on first use, very disappointed",chat
T500174,O208090,pending,Where is my order O208090?? It is 2 weeks late!!!,phone
T500175,O209143,pending,"Cancel order O209143 please, ordered by mistake",phone
T500176,O223869,pending,  RETURN REQUEST: item not as described  ,email
T500177,O211839,open,"Order O211839 arrived damaged, the zip is broken",chat
T500178,O211128,Open,Where is my order O211128?? It is 2 weeks late!!!,email
T500179,O202777,pending,Where is my order O202777?? It is 2 weeks late!!!,chat
T500180,O204088,Open,  RETURN REQUEST: item not as described  ,phone
T500181,O207354,closed,"Order O207354 arrived damaged, the zip is broken",phone
T500182,O223045,Open,"Great service, jacket fits perfectly. thanks",email
T500183,O218628,open,Can I change the delivery address for O218628?,email
T500184,O209572,pending,  RETURN REQUEST: item not as described  ,phone
T500185,O212634,closed,"I want a refund for O212634, wrong size delivered",chat
T500186,O209370,closed,"I want a refund for O209370, wrong size delivered",chat
T500187,,Open,Where is my order O221658?? It is 2 weeks late!!!,phone
T500188,O219308,pending,"the tent O219308 leaked on first use, very disappointed",phone
T500189,,Open,"the tent O224184 leaked on first use, very disappointed",phone
T500190,O205233,pending,"Cancel order O205233 please, ordered by mistake",chat
T500191,O212710,closed,"Order O212710 arrived damaged, the zip is broken",email
T500192,O212896,closed,"Order O212896 arrived damaged, the zip is broken",email
T500193,O207702,closed,"the tent O207702 leaked on first use, very disappointed",email
T500194,O215173,closed,"Great service, jacket fits perfectly. thanks",email
T500195,O211266,closed,Can I change the delivery address for O211266?,chat
T500196,O208845,closed,"Cancel order O208845 please, ordered by mistake",email
T500197,O203790,pending,Where is my order O203790?? It is 2 weeks late!!!,phone
T500198,O225773,pending,"Great service, jacket fits perfectly. thanks",email
T500199,O210932,closed,Can I change the delivery address for O210932?,email
T500200,O223788,open,"the tent O223788 leaked on first use, very disappointed",email
T500201,O225424,open,"Order O225424 arrived damaged, the zip is broken",chat
T500202,O204986,pending,"Order O204986 arrived damaged, the zip is broken",phone
T500203,O213534,closed,"Order O213534 arrived damaged, the zip is broken",email
T500204,O221900,pending,"Order O221900 arrived damaged, the zip is broken",email
T500205,O210939,open,"Order O210939 arrived damaged, the zip is broken",phone
T500206,O208033,closed,"I want a refund for O208033, wrong size delivered",chat
T500207,O223497,pending,"Order O223497 arrived damaged, the zip is broken",chat
T500208,O202002,pending,"Order O202002 arrived damaged, the zip is broken",email
T500209,O221121,Open,"Great service, jacket fits perfectly. thanks",chat
T500210,O204948,Open,"I want a refund for O204948, wrong size delivered",phone
T500211,O208652,open,"Great service, jacket fits perfectly. thanks",chat
T500212,O220591,Open,"the tent O220591 leaked on first use, very disappointed",chat
T500213,O203901,pending,"Order O203901 arrived damaged, the zip is broken",phone
T500214,O214860,open,"the tent O214860 leaked on first use, very disappointed",email
T500215,O225414,Open,Where is my order O225414?? It is 2 weeks late!!!,chat
T500216,O209827,Open,"Cancel order O209827 please, ordered by mistake",chat
T500217,O203328,closed,"Great service, jacket fits perfectly. thanks",email
T500218,O210005,Open,  RETURN REQUEST: item not as described  ,email
T500219,O217854,closed,"Great service, jacket fits perfectly. thanks",email
T500220,O206795,open,"Great service, jacket fits perfectly. thanks",phone
T500221,O222629,closed,Where is my order O222629?? It is 2 weeks late!!!,email
T500222,O215363,closed,  RETURN REQUEST: item not as described  ,chat
T500223,O224708,closed,"Cancel order O224708 please, ordered by mistake",chat
T500224,O222035,closed,"Order O222035 arrived damaged, the zip is broken",email
T500225,O220284,Open,Can I change the delivery address for O220284?,email
T500226,O207473,closed,"the tent O207473 leaked on first use, very disappointed",email
T500227,O216925,closed,Where is my order O216925?? It is 2 weeks late!!!,phone
T500228,O214229,open,"Order O214229 arrived damaged, the zip is broken",email
T500229,O202320,closed,Can I change the delivery address for O202320?,phone
T500230,O200556,pending,Can I change the delivery address for O200556?,chat
T500231,O205725,pending,"Great service, jacket fits perfectly. thanks",chat
T500232,O206817,pending,"Order O206817 arrived damaged, the zip is broken",chat
T500233,O205604,pending,"Cancel order O205604 please, ordered by mistake",email
T500234,O218202,closed,"Cancel order O218202 please, ordered by mistake",chat
T500235,O206925,pending,"the tent O206925 leaked on first use, very disappointed",email
T500236,O209569,pending,"the tent O209569 leaked on first use, very disappointed",chat
T500237,O217517,Open,Can I change the delivery address for O217517?,email
T500238,,pending,"I want a refund for O208563, wrong size delivered",email
T500239,O206735,open,"the tent O206735 leaked on first use, very disappointed",phone
T500240,O208092,Open,"I want a refund for O208092, wrong size delivered",phone
T500241,O210089,open,"Order O210089 arrived damaged, the zip is broken",email
T500242,,open,Can I change the delivery address for O220762?,email
T500243,O218118,pending,"Cancel order O218118 please, ordered by mistake",phone
T500244,O218083,closed,Where is my order O218083?? It is 2 weeks late!!!,email
T500245,O225799,pending,"I want a refund for O225799, wrong size delivered",chat
T500246,O205199,closed,  RETURN REQUEST: item not as described  ,chat
T500247,O223563,open,Where is my order O223563?? It is 2 weeks late!!!,chat
T500248,O200212,Open,Can I change the delivery address for O200212?,email
T500249,O204563,pending,Where is my order O204563?? It is 2 weeks late!!!,phone
T500250,O217028,pending,"the tent O217028 leaked on first use, very disappointed",email
T500251,O215004,Open,Can I change the delivery address for O215004?,email
T500252,O221233,Open,Can I change the delivery address for O221233?,chat
T500253,O221739,Open,"I want a refund for O221739, wrong size delivered",email
T500254,O221080,Open,"Cancel order O221080 please, ordered by mistake",email
T500255,O221532,open,  RETURN REQUEST: item not as described  ,email
T500256,O220531,open,"Great service, jacket fits perfectly. thanks",phone
T500257,,closed,Where is my order O221336?? It is 2 weeks late!!!,phone
T500258,O211723,Open,"I want a refund for O211723, wrong size delivered",chat
T500259,O215147,closed,"Order O215147 arrived damaged, the zip is broken",email
T500260,,Open,"Order O206893 arrived damaged, the zip is broken",email
T500261,O225281,pending,Where is my order O225281?? It is 2 weeks late!!!,chat
T500262,O202327,Open,Where is my order O202327?? It is 2 weeks late!!!,chat
T500263,O222838,pending,"the tent O222838 leaked on first use, very disappointed",chat
T500264,O222988,open,  RETURN REQUEST: item not as described  ,phone
T500265,O209558,open,"Great service, jacket fits perfectly. thanks",email
T500266,O204701,open,"Great service, jacket fits perfectly. thanks",phone
T500267,O207777,Open,  RETURN REQUEST: item not as described  ,email
T500268,O224618,open,"I want a refund for O224618, wrong size delivered",phone
T500269,O207443,pending,"the tent O207443 leaked on first use, very disappointed",email
T500270,O205686,Open,"Cancel order O205686 please, ordered by mistake",email
T500271,O225258,open,  RETURN REQUEST: item not as described  ,email
T500272,O224898,open,"the tent O224898 leaked on first use, very disappointed",phone
T500273,O206883,open,"Order O206883 arrived damaged, the zip is broken",email
T500274,O215148,Open,"Great service, jacket fits perfectly. thanks",chat
T500275,O219377,open,"Cancel order O219377 please, ordered by mistake",email
T500276,O204852,closed,Can I change the delivery address for O204852?,phone
T500277,O216303,pending,Can I change the delivery address for O216303?,phone
T500278,O209410,Open,"Great service, jacket fits perfectly. thanks",phone
T500279,O204526,closed,"Cancel order O204526 please, ordered by mistake",chat
T500280,O210390,closed,Where is my order O210390?? It is 2 weeks late!!!,phone
T500281,O213521,Open,"Cancel order O213521 please, ordered by mistake",chat
T500282,O223735,Open,Can I change the delivery address for O223735?,email
T500283,O209734,Open,"Order O209734 arrived damaged, the zip is broken",email
T500284,O218872,pending,"Great service, jacket fits perfectly. thanks",email
T500285,O200876,Open,Where is my order O200876?? It is 2 weeks late!!!,phone
T500286,O213070,Open,"I want a refund for O213070, wrong size delivered",email
T500287,O204471,Open,"Cancel order O204471 please, ordered by mistake",email
T500288,O215487,closed,  RETURN REQUEST: item not as described  ,phone
T500289,O211543,Open,"I want a refund for O211543, wrong size delivered",phone
T500290,O203432,closed,  RETURN REQUEST: item not as described  ,email
T500291,O206165,Open,"Cancel order O206165 please, ordered by mistake",chat
T500292,O216805,closed,  RETURN REQUEST: item not as described  ,phone
T500293,O218283,Open,Can I change the delivery address for O218283?,chat
T500294,O217324,open,Where is my order O217324?? It is 2 weeks late!!!,email
T500295,O223646,open,Can I change the delivery address for O223646?,chat
T500296,O214825,pending,Can I change the delivery address for O214825?,chat
T500297,O224343,Open,Can I change the delivery address for O224343?,email
T500298,O213172,closed,"Great service, jacket fits perfectly. thanks",chat
T500299,O206824,Open,"Great service, jacket fits perfectly. thanks",phone
T500300,,Open,"I want a refund for O209974, wrong size delivered",phone
T500301,O219135,open,  RETURN REQUEST: item not as described  ,email
T500302,O203123,pending,Can I change the delivery address for O203123?,phone
T500303,,open,"Cancel order O214067 please, ordered by mistake",chat
T500304,O222393,pending,"Cancel order O222393 please, ordered by mistake",email
T500305,O223800,Open,"Great service, jacket fits perfectly. thanks",chat
T500306,O222149,pending,"Cancel order O222149 please, ordered by mistake",phone
T500307,O209099,closed,"Order O209099 arrived damaged, the zip is broken",chat
T500308,O220031,open,"Cancel order O220031 please, ordered by mistake",email
T500309,O213063,Open,"I want a refund for O213063, wrong size delivered",chat
T500310,O216760,Open,Where is my order O216760?? It is 2 weeks late!!!,email
T500311,,Open,"Cancel order O215440 please, ordered by mistake",chat
T500312,O215572,closed,"Order O215572 arrived damaged, the zip is broken",chat
T500313,O220729,open,"Cancel order O220729 please, ordered by mistake",email
T500314,O201850,closed,"I want a refund for O201850, wrong size delivered",chat
T500315,O213133,Open,"I want a refund for O213133, wrong size delivered",email
T500316,O207530,Open,  RETURN REQUEST: item not as described  ,chat
T500317,O213295,pending,"the tent O213295 leaked on first use, very disappointed",phone
T500318,O220427,open,Where is my order O220427?? It is 2 weeks late!!!,phone
T500319,O209646,Open,"the tent O209646 leaked on first use, very disappointed",chat
T500320,O220142,closed,"Cancel order O220142 please, ordered by mistake",email
T500321,O221600,open,  RETURN REQUEST: item not as described  ,phone
T500322,,Open,"Order O220992 arrived damaged, the zip is broken",email
T500323,,closed,"the tent O207372 leaked on first use, very disappointed",chat
T500324,O217479,Open,  RETURN REQUEST: item not as described  ,phone
T500325,O212935,open,"I want a refund for O212935, wrong size delivered",email
T500326,O212457,closed,"Great service, jacket fits perfectly. thanks",phone
T500327,O201311,open,  RETURN REQUEST: item not as described  ,email
T500328,O215827,closed,"Cancel order O215827 please, ordered by mistake",phone
T500329,O200868,open,"Great service, jacket fits perfectly. thanks",chat
T500330,O215922,pending,"Cancel order O215922 please, ordered by mistake",email
T500331,O221800,pending,Can I change the delivery address for O221800?,phone
T500332,O210236,pending,  RETURN REQUEST: item not as described  ,email
T500333,O214676,closed,Can I change the delivery address for O214676?,email
T500334,O205664,open,"I want a refund for O205664, wrong size delivered",phone
T500335,O213099,pending,"Order O213099 arrived damaged, the zip is broken",email
T500336,O209709,closed,Where is my order O209709?? It is 2 weeks late!!!,chat
T500337,O200418,closed,"Great service, jacket fits perfectly. thanks",email
T500338,O204034,Open,"Great service, jacket fits perfectly. thanks",email
T500339,O219169,Open,"Cancel order O219169 please, ordered by mistake",email
T500340,O215029,Open,Where is my order O215029?? It is 2 weeks late!!!,email
T500341,,pending,Can I change the delivery address for O200613?,chat
T500342,O212289,pending,"I want a refund for O212289, wrong size delivered",email
T500343,O220953,open,"Cancel order O220953 please, ordered by mistake",chat
T500344,O204073,pending,Where is my order O204073?? It is 2 weeks late!!!,email
T500345,,Open,Can I change the delivery address for O202497?,chat
T500346,O202299,Open,"Cancel order O202299 please, ordered by mistake",chat
T500347,O207527,open,  RETURN REQUEST: item not as described  ,phone
T500348,O215466,pending,Where is my order O215466?? It is 2 weeks late!!!,email
T500349,O214201,open,  RETURN REQUEST: item not as described  ,phone
T500350,O214960,closed,  RETURN REQUEST: item not as described  ,email
T500351,O210502,Open,"Cancel order O210502 please, ordered by mistake",phone
T500352,O216757,pending,Can I change the delivery address for O216757?,phone
T500353,,closed,"Cancel order O201836 please, ordered by mistake",chat
T500354,O207459,pending,"the tent O207459 leaked on first use, very disappointed",chat
T500355,,open,  RETURN REQUEST: item not as described  ,phone
T500356,O221172,open,"Cancel order O221172 please, ordered by mistake",phone
T500357,O220841,pending,Can I change the delivery address for O220841?,chat
T500358,O203800,Open,"the tent O203800 leaked on first use, very disappointed",chat
T500359,O213462,open,Where is my order O213462?? It is 2 weeks late!!!,email
T500360,O210216,Open,Where is my order O210216?? It is 2 weeks late!!!,chat
T500361,O203020,Open,Where is my order O203020?? It is 2 weeks late!!!,email
T500362,O218878,closed,"Cancel order O218878 please, ordered by mistake",chat
T500363,O208487,Open,"Order O208487 arrived damaged, the zip is broken",chat
T500364,O207849,closed,"Great service, jacket fits perfectly. thanks",email
T500365,O223320,closed,  RETURN REQUEST: item not as described  ,chat
T500366,O200125,Open,"Great service, jacket fits perfectly. thanks",email
T500367,O214796,closed,  RETURN REQUEST: item not as described  ,phone
T500368,O213721,pending,"Order O213721 arrived damaged, the zip is broken",chat
T500369,O217602,Open,"Great service, jacket fits perfectly. thanks",email
T500370,O216364,open,  RETURN REQUEST: item not as described  ,phone
T500371,,pending,"Great service, jacket fits perfectly. thanks",chat
T500372,O224361,pending,"the tent O224361 leaked on first use, very disappointed",email
T500373,O214172,pending,Where is my order O214172?? It is 2 weeks late!!!,chat
T500374,O222448,Open,"Great service, jacket fits perfectly. thanks",phone
T500375,O213669,closed,  RETURN REQUEST: item not as described  ,phone
T500376,O223167,open,"Order O223167 arrived damaged, the zip is broken",phone
T500377,O208584,open,Where is my order O208584?? It is 2 weeks late!!!,phone
T500378,O219861,pending,Can I change the delivery address for O219861?,phone
T500379,,Open,"Great service, jacket fits perfectly. thanks",email
T500380,O216554,pending,"I want a refund for O216554, wrong size delivered",phone
T500381,O209239,open,"Order O209239 arrived damaged, the zip is broken",email
T500382,O224959,open,"Cancel order O224959 please, ordered by mistake",email
T500383,,open,"Order O223873 arrived damaged, the zip is broken",phone
T500384,O221076,closed,"Cancel order O221076 please, ordered by mistake",chat
T500385,O207717,open,"the tent O207717 leaked on first use, very disappointed",chat
T500386,O214925,pending,  RETURN REQUEST: item not as described  ,phone
T500387,O216038,pending,  RETURN REQUEST: item not as described  ,email
T500388,O224105,open,"the tent O224105 leaked on first use, very disappointed",email
T500389,O223160,open,"Great service, jacket fits perfectly. thanks",phone
T500390,O207537,Open,Can I change the delivery address for O207537?,email
T500391,O207389,open,Where is my order O207389?? It is 2 weeks late!!!,phone
T500392,O217315,closed,"the tent O217315 leaked on first use, very disappointed",chat
T500393,O217818,Open,"the tent O217818 leaked on first use, very disappointed",chat
T500394,O213609,pending,"the tent O213609 leaked on first use, very disappointed",email
T500395,O220452,Open,Where is my order O220452?? It is 2 weeks late!!!,chat
T500396,O220566,closed,"Cancel order O220566 please, ordered by mistake",phone
T500397,O217588,pending,"Great service, jacket fits perfectly. thanks",phone
T500398,O219508,pending,"Great service, jacket fits perfectly. thanks",email
T500399,O205855,closed,Where is my order O205855?? It is 2 weeks late!!!,chat
T500400,O203662,open,  RETURN REQUEST: item not as described  ,chat
T500401,O216737,pending,  RETURN REQUEST: item not as described  ,chat
T500402,O203452,Open,Where is my order O203452?? It is 2 weeks late!!!,chat
T500403,O206975,pending,"Great service, jacket fits perfectly. thanks",phone
T500404,O216869,pending,  RETURN REQUEST: item not as described  ,phone
T500405,O217826,Open,  RETURN REQUEST: item not as described  ,phone
T500406,O204040,open,"the tent O204040 leaked on first use, very disappointed",email
T500407,O209055,open,"Order O209055 arrived damaged, the zip is broken",chat
T500408,O213156,pending,"the tent O213156 leaked on first use, very disappointed",email
T500409,O225050,pending,"Great service, jacket fits perfectly. thanks",email
T500410,O206732,closed,Can I change the delivery address for O206732?,email
T500411,O209403,pending,Can I change the delivery address for O209403?,chat
T500412,O215137,closed,"Order O215137 arrived damaged, the zip is broken",phone
T500413,O216285,Open,"Cancel order O216285 please, ordered by mistake",chat
T500414,O207985,open,"Order O207985 arrived damaged, the zip is broken",email
T500415,O220221,Open,"I want a refund for O220221, wrong size delivered",phone
T500416,O203035,closed,"I want a refund for O203035, wrong size delivered",chat
T500417,O216716,Open,"Order O216716 arrived damaged, the zip is broken",phone
T500418,O218387,Open,"the tent O218387 leaked on first use, very disappointed",email
T500419,O224511,Open,"the tent O224511 leaked on first use, very disappointed",chat
T500420,O203920,Open,"Cancel order O203920 please, ordered by mistake",phone
T500421,O224261,pending,Where is my order O224261?? It is 2 weeks late!!!,chat
T500422,O203925,pending,"the tent O203925 leaked on first use, very disappointed",phone
T500423,O225495,pending,Can I change the delivery address for O225495?,phone
T500424,O203180,pending,Can I change the delivery address for O203180?,chat
