order_id,customer_id,order_date,channel,status
O200054,C10237,12-28-2024,Marketplace,delivered
O200055,C11748,17 Oct 2024,marketplace,delivered
O200056,C13627,2023-05-02,marketplace,delivered
O200057,C11277,21/03/2024,Retail Store,delivered
O200058,C13138,03-12-2024,Online,delivered
O200059,C11212,14 May 2024,Marketplace,processing
O200060,C10926,2024-12-08,Online,delivered
O200061,C11311,29/12/2023,marketplace,delivered
O200062,C11161,03-10-2023,Phone,delivered
O200063,C10469,24 Dec 2023,Online,delivered
O200064,C13639,2024-09-10,Online,delivered
O200065,C12324,05/11/2023,marketplace,delivered
O200066,C13847,01-24-2023,marketplace,delivered
O200067,C12493,24 Sep 2023,Phone,delivered
O200068,C13570,2024-06-09,Online,shipped
O200069,C11558,17/03/2023,Online,cancelled
O200070,C10751,11-12-2023,Retail Store,delivered
O200071,C13823,27 Apr 2023,Online,delivered
O200072,C13300,2023-12-22,Phone,delivered
O200073,C13645,05/05/2023,Marketplace,delivered
O200074,C13692,04-06-2023,marketplace,delivered
O200075,C11191,23 Jun 2024,marketplace,delivered
O200076,C12182,2023-05-19,Marketplace,returned
O200077,C12929,16/05/2023,Retail Store,Delivered
O200078,C13518,03-22-2024,online,cancelled
O200079,C10465,08 Feb 2023,Phone,delivered
O200080,C13729,2023-01-29,Marketplace,cancelled
O200081,C13031,04/12/2023,Online,delivered
O200082,C11894,11-08-2023,online,delivered
O200083,C12942,09 Feb 2024,Online,delivered
O200084,C11131,2024-12-29,Phone,returned
O200085,C11426,06/12/2023,Online,cancelled
O200086,C10798,03-08-2024,Phone,delivered
O200087,C11547,30 Nov 2024,marketplace,processing
O200088,C11236,2023-12-25,Online,delivered
O200089,C12344,04/09/2024,Online,delivered
O200090,C11735,02-13-2024,Phone,delivered
O200091,C11120,30 Apr 2024,Marketplace,Delivered
O200092,C11546,2024-12-05,Phone,Delivered
O200093,C12290,01/01/2023,Phone,cancelled
O200094,C13170,11-22-2024,Online,returned
O200095,C13550,31 Dec 2023,Online,shipped
O200096,C11060,2024-04-04,marketplace,delivered
O200097,C11779,12/12/2023,Online,delivered
O200098,C12852,08-18-2023,marketplace,delivered
O200099,C10816,27 Feb 2023,Phone,delivered
O200100,C12942,2024-12-10,Retail Store,Delivered
O200101,C12232,19/04/2024,online,delivered
O200102,C10550,11-11-2024,Phone,delivered
O200103,C12611,13 Sep 2023,Retail Store,delivered
O200104,C10641,2023-09-02,online,cancelled
O200105,C12103,22/10/2023,Marketplace,Delivered
O200106,C11240,07-22-2023,Retail Store,delivered
O200107,C10094,31 Dec 2023,marketplace,delivered
O200108,C12700,2024-12-06,Phone,delivered
O200109,C12677,12/11/2024,online,cancelled
O200110,C11090,12-30-2023,online,delivered
O200111,C10147,02 Nov 2023,Phone,delivered
O200112,C13525,2024-04-08,Phone,delivered
O200113,C11669,08/04/2024,marketplace,delivered
O200114,C13418,06-10-2024,Online,delivered
O200115,C11657,01 Feb 2024,Online,cancelled
O200116,C12967,2023-01-24,online,shipped
O200117,C13385,08/03/2023,Online,delivered
O200118,C12731,12-21-2024,Retail Store,delivered
O200119,C13450,04 Aug 2024,marketplace,delivered
O200120,C10258,2024-12-11,marketplace,delivered
O200121,C13100,26/10/2023,Retail Store,delivered
O200122,C12872,02-01-2024,Retail Store,delivered
O200123,C13278,10 Oct 2023,Retail Store,delivered
O200124,C12538,2024-11-25,marketplace,delivered
O200125,C10875,10/09/2023,online,delivered
O200126,C12426,06-19-2024,Online,cancelled
O200127,C12865,03 Jun 2023,marketplace,shipped
O200128,C13977,2023-04-03,Marketplace,delivered
O200129,C12997,17/05/2023,Online,delivered
O200130,C13364,01-27-2024,Marketplace,delivered
O200131,C13112,29 Oct 2024,Retail Store,delivered
O200132,C10409,2024-12-31,Phone,Delivered
O200133,C13179,18/04/2024,marketplace,delivered
O200134,C12822,01-30-2024,Retail Store,Delivered
O200135,C10652,09 Sep 2024,Phone,delivered
O200136,C10750,2023-02-25,marketplace,delivered
O200137,C11027,29/09/2024,online,Delivered
O200138,C12346,08-15-2024,Marketplace,Delivered
O200139,C13134,27 Jan 2024,Marketplace,cancelled
O200140,C13521,2023-01-21,marketplace,delivered
O200141,C10589,27/06/2023,Online,processing
O200142,C13924,11-10-2023,Phone,delivered
O200143,C10495,08 Dec 2024,online,processing
O200144,C12348,2024-05-02,Marketplace,delivered
O200145,C13908,10/01/2024,Online,processing
O200146,C11664,12-27-2023,Online,processing
O200147,C13871,03 Sep 2024,marketplace,delivered
O200148,C12529,2023-10-12,marketplace,delivered
O200149,C11346,25/03/2023,Retail Store,Delivered
O200150,C13503,06-04-2024,Online,delivered
O200151,C10034,16 Oct 2023,Phone,delivered
O200152,C13056,2023-10-14,online,processing
O200153,C11592,14/12/2023,Online,shipped
O200154,C12862,08-02-2023,online,shipped
O200155,C10103,30 Nov 2024,marketplace,returned
O200156,C13620,2024-11-01,online,shipped
O200157,C10573,28/12/2024,Marketplace,shipped
O200158,C12424,12-17-2024,Online,shipped
O200159,C10896,03 Oct 2023,marketplace,delivered
O200160,C13695,2023-11-14,Phone,delivered
O200161,C13356,23/06/2024,Phone,Delivered
O200162,C13346,01-14-2023,Phone,shipped
O200163,C11501,29 Dec 2024,Phone,delivered
O200164,C10727,2023-01-10,Phone,delivered
O200165,C10032,28/01/2024,marketplace,processing
O200166,C10811,05-28-2024,marketplace,delivered
O200167,C12547,27 Nov 2024,online,delivered
O200168,C11362,2024-05-06,online,shipped
O200169,C10282,26/03/2024,marketplace,delivered
O200170,C13997,09-21-2023,online,Delivered
O200171,C13576,21 Mar 2024,Phone,shipped
O200172,C11751,2024-08-07,marketplace,delivered
O200173,C10981,15/01/2024,Retail Store,delivered
O200174,C11781,09-02-2024,Marketplace,delivered
O200175,C10950,03 Mar 2023,Retail Store,Delivered
O200176,C10290,2023-10-22,online,delivered
O200177,C11588,15/12/2024,Retail Store,returned
O200178,C10654,10-11-2023,Marketplace,cancelled
O200179,C10429,17 Apr 2024,marketplace,cancelled
O200180,C13933,2024-01-19,Retail Store,delivered
O200181,C10092,06/12/2024,online,shipped
O200182,C13315,05-23-2023,Online,cancelled
O200183,C13657,20 Sep 2023,Online,processing
O200184,C11728,2024-11-07,Marketplace,cancelled
O200185,C13454,26/05/2024,online,delivered
O200186,C12028,02-08-2024,Marketplace,delivered
O200187,C13665,20 Nov 2023,Marketplace,delivered
O200188,C13315,2023-11-26,marketplace,shipped
O200189,C12706,06/12/2024,Online,cancelled
O200190,C12296,05-30-2024,Phone,delivered
O200191,C10052,03 Dec 2024,Phone,delivered
O200192,C11127,2024-12-21,Retail Store,delivered
O200193,C13892,11/02/2024,Marketplace,shipped
O200194,C13685,04-06-2024,Phone,Delivered
O200195,C12835,17 May 2024,Online,cancelled
O200196,C11977,2024-10-25,Phone,shipped
O200197,C11660,19/05/2024,marketplace,delivered
O200198,C11675,04-11-2023,marketplace,delivered
O200199,C12929,08 Dec 2024,online,Delivered
O200200,C11065,2024-05-21,Phone,delivered
O200201,C12268,10/11/2024,marketplace,Delivered
O200202,C12506,12-02-2023,Phone,delivered
O200203,C12686,22 Dec 2023,Phone,delivered
O200204,C10663,2024-06-15,marketplace,delivered
O200205,C13296,31/08/2024,Marketplace,delivered
O200206,C11733,03-11-2023,Retail Store,processing
O200207,C13744,25 Nov 2023,online,Delivered
O200208,C11774,2024-08-25,Online,delivered
O200209,C13186,28/12/2024,Retail Store,cancelled
O200210,C10445,01-11-2023,Marketplace,delivered
O200211,C13583,21 Aug 2023,Marketplace,delivered
O200212,C10107,2023-12-18,Retail Store,delivered
O200213,C12270,15/07/2023,Retail Store,delivered
O200214,C12992,01-24-2023,Retail Store,Delivered
O200215,C11353,05 Feb 2024,marketplace,cancelled
O200216,C13826,2024-05-11,Phone,Delivered
O200217,C12678,28/11/2023,online,delivered
O200218,C13609,11-10-2023,Marketplace,shipped
O200219,C12224,26 Dec 2024,Phone,delivered
O200220,C12827,2023-12-23,Retail Store,shipped
O200221,C10224,19/09/2024,Retail Store,delivered
O200222,C10263,09-10-2023,Marketplace,delivered
O200223,C12303,17 Oct 2024,Marketplace,shipped
O200224,C11486,2024-10-11,Phone,delivered
O200225,C11669,24/08/2023,Online,delivered
O200226,C12457,05-17-2024,marketplace,returned
O200227,C11478,09 Jun 2024,online,delivered
O200228,C13984,2023-12-09,Retail Store,returned
O200229,C12897,28/08/2024,Retail Store,Delivered
O200230,C12416,09-27-2023,Marketplace,returned
O200231,C13540,25 Dec 2023,marketplace,delivered
O200232,C10095,2024-12-28,online,cancelled
O200233,C10788,06/06/2023,Phone,delivered
O200234,C13315,05-10-2023,Phone,delivered
O200235,C13179,06 May 2023,Online,delivered
O200236,C12334,2024-12-31,Marketplace,returned
O200237,C10678,21/05/2023,Phone,delivered
O200238,C11184,06-17-2023,Online,delivered
O200239,C12305,20 Jun 2024,online,delivered
O200240,C10337,2024-08-16,Retail Store,delivered
O200241,C13392,25/01/2024,Phone,delivered
O200242,C11320,12-25-2024,Marketplace,delivered
O200243,C13623,04 Feb 2023,Online,delivered
O200244,C12136,2024-04-16,Marketplace,returned
O200245,C11233,04/04/2024,Marketplace,shipped
O200246,C10165,10-09-2023,Marketplace,delivered
O200247,C13275,22 Nov 2024,marketplace,delivered
O200248,C12648,2024-02-17,Online,delivered
O200249,C13515,05/08/2023,Retail Store,Delivered
O200250,C10871,03-19-2023,Online,delivered
O200251,C10691,04 Apr 2023,Phone,returned
O200252,C10941,2024-11-21,Phone,shipped
O200253,C11538,08/08/2023,Phone,processing
O200254,C11505,11-24-2024,online,shipped
O200255,C13104,16 Apr 2023,online,delivered
O200256,C13815,2024-12-25,Retail Store,delivered
O200257,C10058,20/10/2024,Online,delivered
O200258,C12136,04-13-2023,Phone,delivered
O200259,C12503,17 Mar 2023,online,delivered
O200260,C10957,2024-09-23,marketplace,delivered
O200261,C11658,10/03/2023,Online,delivered
O200262,C12928,08-19-2023,Online,delivered
O200263,C12070,21 Sep 2024,marketplace,delivered
O200264,C10254,2024-11-24,Online,delivered
O200265,C11673,23/08/2024,Online,delivered
O200266,C11303,11-17-2024,online,returned
O200267,C10781,23 Feb 2024,Retail Store,delivered
O200268,C10414,2024-09-02,online,cancelled
O200269,C11393,29/10/2023,online,shipped
O200270,C13442,09-07-2024,online,delivered
O200271,C13444,07 Jun 2024,Phone,delivered
O200272,C10624,2024-03-07,marketplace,delivered
O200273,C12443,28/12/2024,online,delivered
O200274,C12948,12-20-2023,Marketplace,delivered
O200275,C11909,14 Apr 2024,marketplace,returned
O200276,C10140,2024-01-10,online,delivered
O200277,C12824,17/08/2023,Marketplace,cancelled
O200278,C10663,10-17-2023,Online,delivered
O200279,C10734,23 Dec 2024,Retail Store,Delivered
O200280,C11137,2023-11-19,Marketplace,delivered
O200281,C10333,07/06/2024,marketplace,shipped
O200282,C13744,02-29-2024,Retail Store,delivered
O200283,C12194,17 Nov 2024,Online,delivered
O200284,C13260,2024-08-14,marketplace,delivered
O200285,C10046,12/03/2023,marketplace,cancelled
O200286,C10757,11-04-2023,Online,Delivered
O200287,C10592,05 Jul 2024,online,delivered
O200288,C10286,2023-05-22,online,delivered
O200289,C12868,04/01/2024,Online,delivered
O200290,C10666,10-07-2023,marketplace,delivered
O200291,C13606,26 Feb 2023,Phone,delivered
O200292,C12990,2024-12-30,Phone,delivered
O200293,C11141,03/12/2024,online,returned
O200294,C11078,08-05-2024,online,delivered
O200295,C11530,26 Jun 2023,online,delivered
O200296,C12158,2024-12-27,Retail Store,delivered
O200297,C12724,25/04/2024,Online,shipped
O200298,C11793,12-18-2024,online,delivered
O200299,C13219,07 Feb 2023,marketplace,processing
O200300,C13075,2023-06-02,Marketplace,delivered
O200301,C11040,05/06/2024,marketplace,shipped
O200302,C11584,11-24-2024,Retail Store,processing
O200303,C13304,04 Jun 2023,Online,shipped
O200304,C12902,2023-10-06,Phone,delivered
O200305,C13890,18/03/2024,Marketplace,returned
O200306,C10387,12-31-2024,Phone,delivered
O200307,C10351,20 Sep 2024,Phone,Delivered
O200308,C12021,2024-12-01,Online,shipped
O200309,C10897,02/06/2024,marketplace,delivered
O200310,C12960,11-13-2024,Marketplace,cancelled
O200311,C12904,07 Jan 2024,marketplace,delivered
O200312,C11778,2023-04-20,marketplace,cancelled
O200313,C10146,03/07/2024,Online,delivered
O200314,C11404,03-30-2024,Online,returned
O200315,C11136,26 Dec 2023,online,delivered
O200316,C11583,2023-08-30,online,delivered
O200317,C13378,07/09/2024,Marketplace,delivered
O200318,C12956,10-08-2024,Phone,delivered
O200319,C12726,08 Nov 2023,Marketplace,delivered
O200320,C10058,2024-12-03,Retail Store,delivered
O200321,C12562,10/11/2023,marketplace,Delivered
O200322,C12080,04-05-2023,Retail Store,shipped
O200323,C12447,27 May 2023,Phone,delivered
O200324,C11628,2023-12-30,Retail Store,processing
O200325,C12007,12/03/2023,marketplace,delivered
O200326,C11343,07-11-2024,Online,shipped
O200327,C13066,16 Sep 2024,Retail Store,cancelled
O200328,C11600,2024-02-13,Retail Store,delivered
O200329,C13461,19/11/2024,Marketplace,delivered
O200330,C13700,12-13-2024,marketplace,delivered
O200331,C13182,11 Dec 2023,Online,delivered
O200332,C12101,2023-03-20,online,returned
O200333,C11930,23/07/2023,Retail Store,delivered
O200334,C12084,05-18-2024,Marketplace,returned
O200335,C13114,24 Nov 2023,Online,shipped
O200336,C13448,2024-06-11,marketplace,returned
O200337,C13021,26/05/2024,marketplace,delivered
O200338,C12864,04-02-2024,Marketplace,shipped
O200339,C11823,19 May 2023,marketplace,delivered
O200340,C11023,2023-09-09,Marketplace,delivered
O200341,C11336,13/11/2023,Phone,shipped
O200342,C13989,10-12-2024,Online,delivered
O200343,C11640,09 Jun 2024,Retail Store,processing
O200344,C11928,2024-05-07,marketplace,delivered
O200345,C11972,31/05/2024,Online,delivered
O200346,C11404,01-04-2024,marketplace,returned
O200347,C10587,04 Feb 2023,Online,cancelled
O200348,C10877,2023-06-26,Marketplace,returned
O200349,C10873,04/05/2023,Phone,shipped
O200350,C10795,02-26-2023,online,shipped
O200351,C10407,08 Oct 2023,online,delivered
O200352,C13736,2024-09-09,Marketplace,shipped
O200353,C10289,12/04/2023,Retail Store,Delivered
O200354,C10470,04-08-2023,marketplace,delivered
O200355,C12264,20 Apr 2023,Online,processing
O200356,C13676,2023-08-26,marketplace,delivered
O200357,C12792,27/06/2023,marketplace,shipped
O200358,C10524,01-13-2023,marketplace,shipped
O200359,C12454,31 Aug 2023,online,delivered
O200360,C12375,2024-12-30,marketplace,delivered
O200361,C12907,23/10/2023,Retail Store,Delivered
O200362,C11165,07-05-2023,Retail Store,processing
O200363,C11626,30 Dec 2023,marketplace,delivered
O200364,C13866,2023-07-21,Phone,shipped
O200365,C13196,22/02/2024,Marketplace,delivered
O200366,C11029,11-22-2023,Phone,delivered
O200367,C12990,20 Nov 2024,Marketplace,delivered
O200368,C13438,2024-12-03,Phone,delivered
O200369,C12844,06/07/2024,Online,delivered
O200370,C12509,07-09-2023,online,delivered
O200371,C13064,22 Dec 2023,online,delivered
O200372,C12155,2023-09-25,online,delivered
O200373,C10925,19/09/2024,online,processing
O200374,C11946,01-26-2023,marketplace,shipped
O200375,C12277,23 May 2024,Phone,processing
O200376,C13045,2023-10-11,online,shipped
O200377,C13099,24/12/2023,online,delivered
O200378,C10525,10-11-2023,Phone,Delivered
O200379,C10395,08 Nov 2023,Retail Store,delivered
O200380,C10635,2024-06-02,marketplace,delivered
O200381,C10988,25/03/2024,online,delivered
O200382,C11109,08-03-2023,Phone,delivered
O200383,C11963,08 Feb 2023,Retail Store,shipped
O200384,C12857,2024-11-04,Phone,delivered
O200385,C11656,29/12/2023,Online,delivered
O200386,C11802,04-14-2024,Marketplace,Delivered
O200387,C13657,27 Dec 2023,marketplace,Delivered
O200388,C13008,2024-04-14,Online,delivered
O200389,C13002,21/04/2024,Phone,delivered
O200390,C13001,01-14-2023,marketplace,Delivered
O200391,C10163,30 Jan 2024,Retail Store,shipped
O200392,C12933,2024-01-03,Phone,delivered
O200393,C11861,26/03/2023,Phone,shipped
O200394,C12521,08-04-2024,online,shipped
O200395,C13050,27 Jul 2023,Online,shipped
O200396,C10203,2023-02-18,online,delivered
O200397,C12676,23/09/2024,Retail Store,processing
O200398,C13533,11-08-2024,marketplace,shipped
O200399,C12150,31 Jul 2023,online,delivered
O200400,C12629,2024-06-14,online,returned
O200401,C10340,05/01/2023,Retail Store,Delivered
O200402,C13017,07-13-2024,Marketplace,delivered
O200403,C13660,18 Dec 2023,Retail Store,cancelled
O200404,C11415,2024-09-14,Retail Store,shipped
O200405,C11660,19/11/2023,marketplace,delivered
O200406,C12070,11-03-2023,marketplace,delivered
O200407,C10580,26 Oct 2024,marketplace,delivered
O200408,C10362,2023-02-04,Phone,delivered
O200409,C10337,14/06/2023,Phone,delivered
O200410,C10635,11-27-2023,Phone,delivered
O200411,C13139,25 Mar 2024,online,delivered
O200412,C12518,2023-01-05,marketplace,delivered
O200413,C12450,07/03/2024,marketplace,delivered
O200414,C10301,11-13-2023,marketplace,shipped
O200415,C11006,24 Apr 2024,Phone,delivered
O200416,C13743,2024-11-24,marketplace,delivered
O200417,C12132,08/12/2023,Retail Store,delivered
O200418,C10322,02-18-2024,online,shipped
O200419,C13785,17 Dec 2023,Marketplace,delivered
O200420,C12262,2023-04-15,Marketplace,Delivered
O200421,C11972,14/09/2024,marketplace,delivered
O200422,C12386,11-16-2024,Online,shipped
O200423,C11562,30 Sep 2024,Online,processing
O200424,C12739,2024-12-11,marketplace,shipped
O200425,C11231,19/12/2023,Marketplace,shipped
O200426,C11417,05-14-2024,marketplace,delivered
O200427,C10729,28 May 2023,Marketplace,delivered
O200428,C10783,2024-12-22,marketplace,delivered
O200429,C13641,12/03/2024,online,shipped
O200430,C10805,08-18-2023,Marketplace,shipped
O200431,C10686,25 Sep 2024,Phone,delivered
O200432,C11903,2024-03-17,Phone,shipped
O200433,C10218,11/12/2024,Online,Delivered
O200434,C11640,08-25-2024,Online,processing
O200435,C10570,13 Nov 2024,Phone,processing
O200436,C11031,2024-02-11,Marketplace,delivered
O200437,C10729,16/01/2024,Marketplace,cancelled
O200438,C13464,08-14-2024,Online,delivered
O200439,C11699,02 Apr 2023,Online,delivered
O200440,C10007,2023-02-17,marketplace,delivered
O200441,C13638,25/12/2024,online,delivered
O200442,C13992,11-28-2024,marketplace,shipped
O200443,C10539,14 Dec 2024,marketplace,delivered
O200444,C10398,2023-02-24,Phone,Delivered
O200445,C10584,25/08/2023,online,shipped
O200446,C11082,11-22-2024,Retail Store,delivered
O200447,C11749,20 Mar 2023,Online,delivered
O200448,C13173,2023-12-12,Marketplace,delivered
O200449,C99005,27/10/2023,Marketplace,delivered
O200450,C13432,11-14-2024,Online,shipped
O200451,C13708,17 Jan 2024,Phone,delivered
O200452,C10218,2023-09-12,Marketplace,delivered
O200453,C13803,22/01/2024,Retail Store,delivered
O200454,C12618,04-09-2023,marketplace,cancelled
O200455,C10507,22 Jul 2024,Retail Store,cancelled
O200456,C13973,2024-04-14,marketplace,delivered
O200457,C12822,30/03/2024,marketplace,delivered
O200458,C13009,12-07-2023,marketplace,delivered
O200459,C12589,16 Sep 2023,Marketplace,processing
O200460,C13133,2023-02-27,online,delivered
O200461,C10121,10/12/2024,online,delivered
O200462,C12226,11-29-2023,Phone,delivered
O200463,C12689,30 Dec 2023,Marketplace,cancelled
O200464,C13450,2023-11-12,Marketplace,delivered
O200465,C12787,27/12/2024,Retail Store,returned
O200466,C10992,09-17-2024,Marketplace,shipped
O200467,C12626,26 Mar 2023,Online,delivered
O200468,C10987,2024-04-05,Marketplace,cancelled
O200469,C10862,26/12/2023,Online,shipped
O200470,C12471,09-15-2024,Marketplace,Delivered
O200471,C11329,30 Dec 2024,Marketplace,delivered
O200472,C11328,2024-08-03,Phone,cancelled
O200473,C12215,08/11/2024,Online,cancelled
O200474,C10777,01-03-2024,Phone,returned
O200475,C10553,11 Nov 2023,marketplace,delivered
O200476,C11746,2024-05-06,marketplace,processing
O200477,C10635,07/08/2024,Retail Store,delivered
O200478,C12942,07-19-2023,Phone,delivered
O200479,C12794,04 Jan 2024,Online,shipped
O200480,C13775,2023-04-10,Retail Store,shipped
O200481,C10662,09/07/2023,Phone,delivered
O200482,C12991,11-15-2024,Marketplace,delivered
O200483,C10066,07 May 2023,Phone,delivered
O200484,C12473,2024-09-30,Marketplace,cancelled
O200485,C10740,11/11/2023,Marketplace,delivered
O200486,C12888,05-24-2024,marketplace,shipped
O200487,C10302,26 Nov 2024,marketplace,returned
O200488,C10167,2024-09-04,Retail Store,returned
O200489,C11128,13/10/2024,Marketplace,delivered
O200490,C11400,08-18-2023,Retail Store,Delivered
O200491,C13041,07 Nov 2023,Online,delivered
O200492,C10766,2024-07-23,Online,Delivered
O200493,C13144,31/08/2024,Marketplace,delivered
O200494,C11979,09-12-2024,Marketplace,returned
O200495,C10285,30 Jul 2024,online,shipped
O200496,C13813,2023-07-23,Retail Store,delivered
O200497,C12281,11/09/2023,Phone,processing
O200498,C13403,12-08-2024,marketplace,returned
O200499,C10352,17 Feb 2024,Retail Store,delivered
O200500,C11806,2024-08-11,Marketplace,Delivered
O200501,C10748,28/03/2024,marketplace,returned
O200502,C12060,12-01-2024,marketplace,cancelled
O200503,C13136,09 Nov 2024,Online,returned
O200504,C13396,2023-08-18,online,Delivered
O200505,C13888,16/11/2024,Retail Store,delivered
O200506,C11049,09-21-2023,Phone,delivered
O200507,C11086,08 Dec 2023,Online,delivered
O200508,C13066,2024-11-02,marketplace,Delivered
O200509,C13107,12/10/2023,Retail Store,returned
O200510,C11319,09-13-2023,Retail Store,delivered
O200511,C11368,28 May 2024,Marketplace,Delivered
O200512,C10780,2024-12-31,online,delivered
O200513,C13138,26/04/2023,Marketplace,delivered
O200514,C10444,06-25-2024,Retail Store,delivered
O200515,C12281,25 Jan 2024,Retail Store,delivered
O200516,C11543,2023-11-26,Online,shipped
O200517,C12185,07/08/2024,Online,shipped
O200518,C13694,02-18-2024,online,delivered
O200519,C13235,18 Sep 2024,Marketplace,processing
O200520,C13617,2024-08-02,Retail Store,delivered
O200521,C12784,26/12/2024,Online,shipped
O200522,C11713,09-30-2024,Phone,delivered
O200523,C13883,28 Feb 2023,marketplace,delivered
O200524,C99048,2024-09-02,marketplace,shipped
O200525,C11450,11/05/2024,marketplace,delivered
O200526,C13424,03-20-2023,Marketplace,Delivered
O200527,C13820,03 Apr 2024,marketplace,delivered
O200528,C11911,2024-08-08,Phone,delivered
O200529,C13310,23/06/2023,Phone,returned
O200530,C11970,12-06-2023,online,shipped
O200531,C11974,07 Feb 2024,online,shipped
O200532,C12114,2023-11-27,online,returned
O200533,C12003,12/11/2024,Marketplace,shipped
O200534,C13571,05-29-2023,Retail Store,delivered
O200535,C13607,26 Aug 2024,Marketplace,Delivered
O200536,C13171,2024-09-01,Marketplace,delivered
O200537,C12349,11/12/2023,Marketplace,delivered
O200538,C10451,02-04-2024,Online,Delivered
O200539,C11351,15 May 2023,Marketplace,shipped
O200540,C10566,2023-06-21,Online,Delivered
O200541,C10165,29/01/2024,Phone,delivered
O200542,C12529,07-17-2023,Online,Delivered
O200543,C11198,26 Sep 2024,Retail Store,delivered
O200544,C10313,2024-04-12,Retail Store,delivered
O200545,C10869,19/02/2023,Phone,shipped
O200546,C10264,11-05-2023,Online,delivered
O200547,C10516,05 Nov 2024,Marketplace,Delivered
O200548,C11988,2023-09-01,marketplace,delivered
O200549,C12690,12/07/2024,marketplace,Delivered
O200550,C13152,03-24-2023,online,delivered
O200551,C11582,04 Dec 2024,online,delivered
O200552,C12962,2023-12-12,online,returned
O200553,C10378,29/12/2023,online,delivered
O200554,C10514,03-02-2024,Retail Store,cancelled
O200555,C11307,07 Nov 2023,Phone,delivered
O200556,C12548,2024-07-17,Phone,delivered
O200557,C10561,13/01/2023,marketplace,delivered
O200558,C10005,05-23-2023,Retail Store,delivered
O200559,C12394,15 Jun 2023,Marketplace,delivered
O200560,C11630,2024-04-29,Marketplace,delivered
O200561,C11707,18/11/2024,Retail Store,processing
O200562,C11682,02-25-2023,online,delivered
O200563,C13736,03 Nov 2024,online,delivered
O200564,C10461,2024-10-07,Marketplace,delivered
O200565,C12434,09/03/2023,online,Delivered
O200566,C13064,05-06-2023,Online,delivered
O200567,C13060,02 Nov 2023,online,shipped
O200568,C10340,2023-04-11,Phone,shipped
O200569,C11340,15/08/2024,Phone,processing
O200570,C13841,01-05-2024,Online,delivered
O200571,C13017,26 Nov 2023,online,shipped
O200572,C13691,2024-07-16,marketplace,delivered
O200573,C12939,15/09/2023,Retail Store,delivered
O200574,C10276,11-10-2024,online,cancelled
O200575,C13963,15 May 2024,marketplace,returned
O200576,C13340,2023-11-01,Marketplace,delivered
O200577,C12644,05/02/2024,Marketplace,Delivered
O200578,C10003,08-16-2023,Retail Store,shipped
O200579,C13664,26 Dec 2024,marketplace,delivered
O200580,C13562,2023-12-06,online,delivered
O200581,C13467,20/11/2024,Retail Store,cancelled
O200582,C11194,12-23-2024,Phone,delivered
O200583,C13674,02 Feb 2024,online,delivered
O200584,C10032,2024-07-21,Online,delivered
