order_id,product_id,quantity,unit_price,discount
O200052,P1108,2,160.48,0.2
O200053,P1009,4,177.77,0.15
O200054,P1047,3,143.09,0.1
O200055,P1018,1,211.2,0.0
O200056,P1056,5,346.79,0.1
O200056,P1062,5,44.7,0.0
O200056,P1118,3,490.88,0.15
O200056,P1065,5,294.77,0.0
O200057,P1065,3,294.77,0.15
O200058,P1106,3,270.17,0.0
O200058,P1026,1,255.33,0.0
O200058,P1007,3,111.0,0.0
O200059,P1001,2,285.94,0.15
O200059,P1032,3,172.32,0.2
O200059,P1012,2,296.96,0.1
O200059,P1010,5,145.04,0.0
O200060,P1085,3,105.41,0.2
O200061,P1042,4,149.83,0.0
O200061,P1088,2,157.81,0.05
O200061,P1066,4,174.9,0.0
O200062,P1075,4,31.36,0.0
O200063,P1116,2,277.81,0.0
O200064,P1087,3,191.19,0.15
O200064,P1025,3,46.64,0.05
O200064,P1031,1,344.47,0.0
O200065,P1090,2,270.64,0.0
O200065,P1049,3,308.64,0.0
O200066,P1114,4,110.73,0.2
O200066,P1097,5,311.32,0.2
O200066,P1092,1,55.64,0.0
O200067,P1029,4,240.87,0.15
O200067,P1113,3,317.66,0.0
O200067,P1110,5,178.83,0.0
O200067,P1013,5,147.66,0.0
O200068,P1050,1,167.02,0.0
O200068,P1017,2,389.28,0.1
O200069,P1026,5,255.33,0.1
O200069,P1064,2,37.82,0.0
O200070,P1051,4,101.13,0.0
O200071,P1023,4,69.5,0.05
O200071,P1030,2,95.57,0.0
O200071,P1056,3,346.79,0.05
O200071,P1007,2,111.0,0.0
O200072,P1118,4,490.88,0.05
O200073,P1014,2,32.87,0.1
O200073,P1013,1,147.66,0.15
O200073,P1058,4,141.93,0.15
O200074,P1109,3,323.91,0.0
O200074,P1016,5,157.28,0.15
O200074,P1078,2,259.72,0.2
O200075,P1057,3,401.11,0.0
O200076,P1081,2,286.18,0.15
O200077,P1109,2,323.91,0.0
O200077,P1030,2,95.57,0.05
O200078,P1085,1,105.41,0.05
O200078,P1019,5,319.54,0.0
O200078,P1010,2,145.04,0.05
O200078,P1068,3,57.56,0.15
O200079,P1032,1,172.32,0.1
O200080,P1092,4,55.64,0.1
O200081,P1109,4,323.91,0.15
O200081,P1031,2,344.47,0.1
O200081,P1087,2,191.19,0.05
O200082,P1074,1,230.73,0.0
O200082,P1116,4,277.81,0.2
O200082,P1103,5,27.86,0.05
O200082,P1103,2,27.86,0.0
O200083,P1106,1,270.17,0.0
O200083,P1041,2,325.82,0.1
O200083,P1119,3,383.32,0.0
O200084,P1036,1,134.12,0.15
O200085,P1095,3,293.66,0.0
O200086,P1098,3,425.57,0.05
O200086,P1003,4,313.52,0.2
O200086,P1105,2,171.79,0.0
O200087,P1016,1,157.28,0.2
O200087,P1024,3,18.18,0.1
O200087,P1113,5,317.66,0.1
O200087,P1110,1,178.83,0.05
O200088,P1112,4,167.78,0.0
O200088,P1034,5,172.72,0.15
O200089,P1110,3,178.83,0.05
O200089,P1072,5,267.01,0.05
O200089,P1029,5,240.87,0.0
O200090,P1091,1,325.59,0.0
O200090,P1004,2,353.67,0.0
O200090,P1037,3,41.82,0.2
O200090,P1032,3,172.32,0.15
O200091,P1096,2,124.77,0.15
O200091,P1045,1,431.1,0.0
O200092,P1036,1,134.12,0.0
O200092,P1038,4,89.11,0.15
O200093,P1103,3,27.86,0.0
O200094,P1021,1,259.91,0.0
O200094,P1085,4,105.41,0.1
O200094,P1037,2,41.82,0.0
O200095,P1046,5,148.16,0.1
O200095,P1061,4,366.69,0.15
O200095,P1022,4,379.38,0.0
O200096,P1015,1,111.69,0.0
O200096,P1108,2,160.48,0.0
O200096,P1034,2,172.72,0.0
O200096,P1081,2,286.18,0.0
O200097,P1054,2,123.08,0.0
O200097,P1112,5,167.78,0.0
O200097,P1038,1,89.11,0.0
O200098,P1016,5,157.28,0.0
O200098,P1026,5,255.33,0.15
O200098,P1089,5,17.98,0.1
O200099,P1092,3,55.64,0.1
O200099,P1060,5,337.64,0.1
O200099,P1031,3,344.47,0.1
O200100,P1097,1,311.32,0.0
O200100,P1065,1,294.77,0.0
O200101,P1091,1,325.59,0.15
O200101,P1097,2,311.32,0.1
O200101,P1003,3,313.52,0.0
O200101,P1067,1,76.41,0.15
O200102,P1083,3,206.92,0.0
O200103,P1093,4,279.47,0.1
O200104,P1102,4,98.36,0.15
O200105,P1039,3,414.64,0.05
O200105,P1005,4,291.63,0.05
O200105,P1043,3,584.45,0.2
O200106,P1073,2,142.45,0.2
O200106,P1093,4,279.47,0.2
O200107,P1024,4,18.18,0.0
O200108,P1007,4,111.0,0.0
O200109,P1021,1,259.91,0.0
O200110,P1093,3,279.47,0.1
O200110,P1002,2,271.82,0.2
O200110,P1086,3,140.81,0.2
O200111,P1109,2,323.91,0.1
O200111,P1042,1,149.83,0.0
O200111,P1014,1,32.87,0.05
O200112,P1092,4,55.64,0.0
O200112,P1067,4,76.41,0.2
O200112,P1009,4,177.77,0.05
O200113,P1040,1,365.39,0.1
O200113,P1008,3,35.53,0.0
O200113,P1010,4,145.04,0.0
O200113,P1109,5,323.91,0.0
O200114,P1104,2,276.35,0.0
O200115,P1081,5,286.18,0.0
O200115,P1021,2,259.91,0.1
O200116,P1115,3,46.67,0.05
O200116,P1038,2,89.11,0.05
O200116,P1014,1,32.87,0.1
O200117,P1004,2,353.67,0.2
O200117,P1003,5,313.52,0.05
O200118,P1115,4,46.67,0.05
O200119,P1005,4,291.63,0.0
O200119,P1059,4,218.93,0.0
O200120,P1022,4,379.38,0.2
O200120,P1100,4,45.05,0.0
O200120,P1069,5,264.66,0.2
O200121,P1088,5,157.81,0.2
O200121,P1068,2,57.56,0.15
O200121,P1052,3,200.56,0.0
O200122,P1004,5,353.67,0.15
O200123,P1060,2,337.64,0.1
O200123,P1104,4,276.35,0.05
O200124,P1037,2,41.82,0.15
O200124,P1074,2,230.73,0.0
O200124,P1043,2,584.45,0.2
O200125,P1088,5,157.81,0.0
O200125,P1018,1,211.2,0.0
O200125,P1051,2,101.13,0.05
O200126,P1026,2,255.33,0.2
O200126,P1028,2,66.26,0.0
O200127,P1046,1,148.16,0.1
O200128,P1101,2,334.44,0.0
O200129,P1060,4,337.64,0.0
O200130,P1104,1,276.35,0.1
O200130,P1099,5,443.03,0.15
O200130,P1068,3,57.56,0.2
O200131,P1102,1,98.36,0.0
O200131,P1053,3,292.24,0.05
O200132,P1048,5,65.04,0.0
O200132,P1102,1,98.36,0.1
O200133,P1044,1,311.76,0.1
O200133,P1103,1,27.86,0.1
O200133,P1119,4,383.32,0.1
O200133,P1045,4,431.1,0.0
O200134,P1051,4,101.13,0.1
O200134,P1047,3,143.09,0.0
O200134,P1106,4,270.17,0.0
O200135,P1087,3,191.19,0.05
O200135,P1034,3,172.72,0.05
O200136,P1064,4,37.82,0.15
O200137,P1050,5,167.02,0.0
O200137,P1074,3,230.73,0.05
O200137,P1047,1,143.09,0.0
O200138,P1003,3,313.52,0.0
O200139,P1087,1,191.19,0.1
O200139,P1107,5,344.9,0.15
O200139,P1069,1,264.66,0.1
O200140,P1082,5,379.4,0.0
O200140,P1074,3,230.73,0.1
O200140,P1058,1,141.93,0.0
O200140,P1063,1,206.06,0.05
O200141,P1036,1,134.12,0.05
O200142,P1002,5,271.82,0.0
O200142,P1087,2,191.19,0.0
O200142,P1022,3,379.38,0.0
O200142,P1049,3,308.64,0.0
O200143,P1119,3,383.32,0.0
O200143,P1089,4,17.98,0.0
O200143,P1112,5,167.78,0.0
O200143,P1042,3,149.83,0.2
O200144,P1103,2,27.86,0.15
O200145,P1114,5,110.73,0.2
O200146,P1111,2,172.59,0.05
O200147,P1027,2,248.78,0.1
O200148,P1055,1,478.95,0.0
O200148,P1106,5,270.17,0.0
O200149,P1087,2,191.19,0.1
O200150,P1108,2,160.48,0.2
O200151,P1065,4,294.77,0.1
O200152,P1105,1,171.79,0.0
O200152,P1018,3,211.2,0.0
O200152,P1095,4,293.66,0.05
O200153,P1017,3,389.28,0.0
O200153,P1106,2,270.17,0.0
O200153,P1046,2,148.16,0.0
O200154,P1076,1,537.15,0.0
O200154,P1083,4,206.92,0.05
O200154,P1022,3,379.38,0.0
O200154,P1004,5,353.67,0.0
O200155,P1040,3,365.39,0.1
O200155,P1118,2,490.88,0.0
O200156,P1003,5,313.52,0.15
O200156,P1092,2,55.64,0.1
O200156,P1047,4,143.09,0.15
O200156,P1086,3,140.81,0.05
O200157,P1012,5,296.96,0.0
O200158,P1102,1,98.36,0.2
O200158,P1078,3,259.72,0.0
O200158,P1085,3,105.41,0.15
O200158,P1055,3,478.95,0.0
O200159,P1112,1,167.78,0.0
O200160,P1050,2,167.02,0.0
O200161,P1119,3,383.32,0.0
O200162,P1016,1,157.28,0.0
O200162,P1079,2,57.01,0.15
O200162,P1044,5,311.76,0.15
O200163,P1052,4,200.56,0.0
O200163,P1013,1,147.66,0.15
O200163,P1039,4,414.64,0.0
O200163,P1049,1,308.64,0.2
O200164,P1028,5,66.26,0.15
O200165,P1075,2,31.36,0.0
O200165,P1076,5,537.15,0.2
O200165,P1033,1,224.24,0.0
O200165,P1041,5,325.82,0.1
O200166,P1087,2,191.19,0.0
O200166,P1032,4,172.32,0.0
O200167,P1091,4,325.59,0.0
O200167,P1090,1,270.64,0.0
O200167,P1119,5,383.32,0.1
O200167,P1048,1,65.04,0.1
O200168,P1116,5,277.81,0.2
O200168,P1069,1,264.66,0.05
O200168,P1009,3,177.77,0.1
O200168,P1077,4,170.6,0.0
O200169,P1110,1,178.83,0.0
O200170,P1006,1,243.37,0.15
O200171,P1080,3,178.39,0.05
O200171,P1041,2,325.82,0.05
O200171,P1065,2,294.77,0.1
O200172,P1018,3,211.2,0.15
O200172,P1108,1,160.48,0.1
O200172,P1097,5,311.32,0.1
O200172,P1041,2,325.82,0.0
O200173,P1004,4,353.67,0.0
O200173,P1030,3,95.57,0.0
O200174,P1090,3,270.64,0.0
O200174,P1014,4,32.87,0.0
O200175,P1074,2,230.73,0.0
O200175,P1035,4,344.78,0.2
O200176,P1103,1,27.86,0.05
O200176,P1059,2,218.93,0.15
O200176,P1106,2,270.17,0.0
O200176,P1040,3,365.39,0.2
O200177,P1094,4,72.99,0.0
O200177,P1077,1,170.6,0.1
O200178,P1090,3,270.64,0.0
O200179,P1100,2,45.05,0.1
O200180,P1117,3,550.94,0.05
O200180,P1068,5,57.56,0.0
O200180,P1012,3,296.96,0.0
O200180,P1063,1,206.06,0.0
O200181,P1013,5,147.66,0.0
O200182,P1069,1,264.66,0.05
O200182,P1010,1,145.04,0.0
O200183,P1079,1,57.01,0.0
O200183,P1101,1,334.44,0.0
O200183,P1004,2,353.67,0.2
O200184,P1016,5,157.28,0.05
O200184,P1111,3,172.59,0.15
O200184,P1049,1,308.64,0.1
O200184,P1014,2,32.87,0.0
O200185,P1024,2,18.18,0.2
O200186,P1046,4,148.16,0.2
O200186,P1037,1,41.82,0.0
O200186,P1066,4,174.9,0.0
O200186,P1043,1,584.45,0.0
O200187,P1052,5,200.56,0.0
O200187,P1068,2,57.56,0.0
O200187,P1031,4,344.47,0.1
O200188,P1101,3,334.44,0.05
O200188,P1104,5,276.35,0.05
O200188,P1077,3,170.6,0.1
O200188,P1092,5,55.64,0.0
O200189,P1006,1,243.37,0.2
O200189,P1070,5,102.15,0.0
O200189,P1067,1,76.41,0.1
O200189,P1050,1,167.02,0.0
O200190,P1110,3,178.83,0.2
O200191,P1079,4,57.01,0.0
O200192,P1012,5,296.96,0.0
O200192,P1077,4,170.6,0.2
O200192,P1065,4,294.77,0.0
O200192,P1117,4,550.94,0.1
O200193,P1027,4,248.78,0.2
O200194,P1115,2,46.67,0.0
O200194,P1099,3,443.03,0.2
O200194,P1006,1,243.37,0.2
O200194,P1011,4,164.37,0.05
O200195,P1116,3,277.81,0.1
O200196,P1026,5,255.33,0.0
O200197,P1005,4,291.63,0.0
O200197,P1070,4,102.15,0.1
O200198,P1082,5,379.4,0.05
O200198,P1033,5,224.24,0.2
O200198,P1030,2,95.57,0.2
O200198,P1026,2,255.33,0.0
O200199,P1085,1,105.41,0.0
O200199,P1084,3,291.47,0.0
O200199,P1038,5,89.11,0.0
O200200,P1022,4,379.38,0.0
O200200,P1031,2,344.47,0.05
O200201,P1021,3,259.91,0.05
O200201,P1025,3,46.64,0.1
O200202,P1031,1,344.47,0.0
O200203,P1107,2,344.9,0.0
O200204,P1036,4,134.12,0.05
O200205,P1107,4,344.9,0.15
O200205,P1052,2,200.56,0.0
O200205,P1001,2,285.94,0.0
O200205,P1116,2,277.81,0.0
O200206,P1075,3,31.36,0.05
O200207,P1101,1,334.44,0.15
O200207,P1091,4,325.59,0.0
O200207,P1016,5,157.28,0.15
O200207,P1091,4,325.59,0.1
O200208,P1104,3,276.35,0.1
O200208,P1034,5,172.72,0.0
O200208,P1071,1,533.7,0.0
O200208,P1041,3,325.82,0.15
O200209,P1054,5,123.08,0.1
O200209,P1036,1,134.12,0.1
O200210,P1049,4,308.64,0.0
O200211,P1026,3,255.33,0.0
O200211,P1028,3,66.26,0.0
O200211,P1056,1,346.79,0.0
O200212,P1106,4,270.17,0.0
O200212,P1011,3,164.37,0.15
O200212,P1007,1,111.0,0.1
O200212,P1027,2,248.78,0.0
O200213,P1070,4,102.15,0.0
O200213,P1042,5,149.83,0.2
O200213,P1055,3,478.95,0.15
O200213,P1041,4,325.82,0.0
O200214,P1083,1,206.92,0.05
O200214,P1068,4,57.56,0.05
O200214,P1032,1,172.32,0.0
O200215,P1071,5,533.7,0.0
O200215,P1015,5,111.69,0.1
O200215,P1102,1,98.36,0.0
O200215,P1042,1,149.83,0.2
O200216,P1113,1,317.66,0.0
O200216,P1109,2,323.91,0.15
O200217,P1027,3,248.78,0.05
O200217,P1031,2,344.47,0.05
O200217,P1098,5,425.57,0.2
O200217,P1044,4,311.76,0.0
O200218,P1005,1,291.63,0.05
O200219,P1031,4,344.47,0.1
O200219,P1114,2,110.73,0.0
O200219,P1071,2,533.7,0.0
O200220,P1106,4,270.17,0.2
O200220,P1067,3,76.41,0.1
O200220,P1061,3,366.69,0.0
O200221,P1094,2,72.99,0.2
O200222,P1011,4,164.37,0.15
O200222,P1084,4,291.47,0.05
O200222,P1078,3,259.72,0.1
O200222,P1096,1,124.77,0.2
O200223,P1016,2,157.28,0.0
O200223,P1091,1,325.59,0.0
O200223,P1024,4,18.18,0.15
O200223,P1023,3,69.5,0.15
O200224,P1015,3,111.69,0.15
O200224,P1104,2,276.35,0.15
O200225,P1092,4,55.64,0.0
O200225,P1087,4,191.19,0.15
O200226,P1013,3,147.66,0.2
O200226,P1017,2,389.28,0.05
O200227,P1112,5,167.78,0.1
O200227,P1002,1,271.82,0.2
O200227,P1101,4,334.44,0.1
O200227,P1037,3,41.82,0.15
O200228,P1018,4,211.2,0.0
O200228,P1031,2,344.47,0.0
O200229,P1093,4,279.47,0.2
O200229,P1032,5,172.32,0.1
O200229,P1071,1,533.7,0.15
O200230,P1085,2,105.41,0.15
O200230,P1117,2,550.94,0.05
O200230,P1007,5,111.0,0.2
O200230,P1058,4,141.93,0.2
O200231,P1009,4,177.77,0.0
O200231,P1043,4,584.45,0.05
O200231,P1000,4,396.27,0.2
O200231,P1074,4,230.73,0.0
O200232,P1078,5,259.72,0.05
O200233,P1096,2,124.77,0.15
O200234,P1080,1,178.39,0.0
O200234,P1003,4,313.52,0.15
O200234,P1113,2,317.66,0.0
O200234,P1093,5,279.47,0.2
O200235,P1000,2,396.27,0.0
O200236,P1026,1,255.33,0.0
O200236,P1011,2,164.37,0.0
O200236,P1012,3,296.96,0.2
O200236,P1066,2,174.9,0.05
O200237,P1113,3,317.66,0.0
O200237,P1085,5,105.41,0.0
O200237,P1002,5,271.82,0.0
O200237,P1090,1,270.64,0.0
O200238,P1010,3,145.04,0.0
O200238,P1067,1,76.41,0.05
O200238,P1029,3,240.87,0.2
O200238,P1012,4,296.96,0.2
O200239,P1069,3,264.66,0.0
O200239,P1112,3,167.78,0.05
O200239,P1117,5,550.94,0.1
O200239,P1103,4,27.86,0.0
O200240,P1117,5,550.94,0.0
O200240,P1020,4,370.34,0.2
O200240,P1003,5,313.52,0.0
O200240,P1105,5,171.79,0.1
O200241,P1015,5,111.69,0.1
O200242,P1089,3,17.98,0.0
O200242,P1106,5,270.17,0.0
O200243,P1107,1,344.9,0.0
O200243,P1037,2,41.82,0.1
O200243,P1119,1,383.32,0.0
O200244,P1106,3,270.17,0.0
O200244,P1086,1,140.81,0.2
O200244,P1049,5,308.64,0.1
O200245,P1037,5,41.82,0.0
O200245,P1039,1,414.64,0.2
O200245,P1008,3,35.53,0.05
O200246,P1046,4,148.16,0.0
O200246,P1092,3,55.64,0.1
O200246,P1053,5,292.24,0.2
O200246,P1105,2,171.79,0.0
O200247,P1063,4,206.06,0.05
O200247,P1031,2,344.47,0.15
O200247,P1028,4,66.26,0.2
O200247,P1022,5,379.38,0.0
O200248,P1000,2,396.27,0.1
O200248,P1040,5,365.39,0.0
O200249,P1102,5,98.36,0.0
O200249,P1114,3,110.73,0.05
O200249,P1107,5,344.9,0.1
O200250,P1114,3,110.73,0.0
O200251,P1114,2,110.73,0.2
O200251,P1028,3,66.26,0.0
O200251,P1104,3,276.35,0.2
O200252,P1111,1,172.59,0.1
O200252,P1027,5,248.78,0.0
O200253,P1099,3,443.03,0.0
O200254,P1101,5,334.44,0.2
O200254,P1103,5,27.86,0.0
O200254,P1067,5,76.41,0.05
O200254,P1094,4,72.99,0.2
O200255,P1086,2,140.81,0.0
O200256,P1098,2,425.57,0.05
O200256,P1053,2,292.24,0.05
O200256,P1005,5,291.63,0.0
O200257,P1020,1,370.34,0.0
O200257,P1080,3,178.39,0.0
O200257,P1022,5,379.38,0.0
O200258,P1088,4,157.81,0.0
O200258,P1104,2,276.35,0.2
O200258,P1037,4,41.82,0.1
O200259,P1114,1,110.73,0.15
O200259,P1119,1,383.32,0.05
O200259,P1070,3,102.15,0.1
O200260,P1032,4,172.32,0.0
O200260,P1061,3,366.69,0.15
O200260,P1105,1,171.79,0.0
O200260,P1016,2,157.28,0.05
O200261,P1032,3,172.32,0.05
O200261,P1031,3,344.47,0.15
O200262,P1053,1,292.24,0.15
O200262,P1104,4,276.35,0.0
O200263,P1023,3,69.5,0.15
O200263,P1070,2,102.15,0.15
O200264,P1106,1,270.17,0.2
O200264,P1003,4,313.52,0.05
O200264,P1046,3,148.16,0.15
O200265,P1116,4,277.81,0.0
O200265,P1100,4,45.05,0.2
O200266,P1087,4,191.19,0.2
O200266,P1078,5,259.72,0.0
O200266,P1045,4,431.1,0.0
O200267,P1116,5,277.81,0.05
O200267,P1099,5,443.03,0.0
O200268,P1044,3,311.76,0.05
O200269,P1088,3,157.81,0.1
O200269,P1102,5,98.36,0.1
O200270,P1093,4,279.47,0.15
O200270,P1082,4,379.4,0.2
O200270,P1011,3,164.37,0.05
O200271,P1027,5,248.78,0.0
O200271,P1028,2,66.26,0.05
O200271,P1070,4,102.15,0.1
O200272,P1099,5,443.03,0.1
O200272,P1098,5,425.57,0.0
O200272,P1105,5,171.79,0.1
O200273,P1095,1,293.66,0.0
O200273,P1040,4,365.39,0.0
O200273,P1060,5,337.64,0.05
O200274,P1088,3,157.81,0.0
O200274,P1014,2,32.87,0.05
O200274,P1105,5,171.79,0.0
O200275,P1006,4,243.37,0.0
O200275,P1085,1,105.41,0.15
O200275,P1002,5,271.82,0.1
O200275,P1078,3,259.72,0.0
O200276,P1064,4,37.82,0.0
O200276,P1050,4,167.02,0.05
O200276,P1110,1,178.83,0.05
O200276,P1091,2,325.59,0.1
O200277,P1094,5,72.99,0.0
O200277,P1063,3,206.06,0.2
O200278,P1090,3,270.64,0.0
O200278,P1003,4,313.52,0.0
O200279,P1085,2,105.41,0.15
O200280,P1113,2,,0.15
O200281,P1113,1,317.66,0.15
O200281,P1078,4,259.72,0.0
O200281,P1116,5,277.81,0.0
O200281,P1071,2,533.7,0.15
O200282,P1095,3,293.66,0.05
O200282,P1025,1,46.64,0.0
O200282,P1014,2,32.87,0.05
O200283,P1077,5,170.6,0.05
O200283,P1106,4,270.17,0.05
O200283,P1106,3,270.17,0.0
O200283,P1092,2,55.64,0.0
O200284,P1059,1,218.93,0.05
O200284,P1066,1,174.9,0.0
O200285,P1004,3,353.67,0.0
O200285,P1113,4,317.66,0.0
O200285,P1069,3,264.66,0.2
O200285,P1110,5,178.83,0.2
O200286,P1062,5,44.7,0.0
O200286,P1017,2,389.28,0.15
O200286,P1054,4,123.08,0.0
O200287,P1111,2,172.59,0.1
O200287,P1090,3,270.64,0.0
O200287,P1103,4,27.86,0.0
O200287,P1022,3,379.38,0.2
O200288,P1118,4,490.88,0.0
O200288,P1112,5,167.78,0.1
O200288,P1030,2,95.57,0.1
O200289,P1104,1,276.35,0.15
O200289,P1096,2,124.77,0.1
O200290,P1057,2,401.11,0.0
O200291,P1041,2,325.82,0.0
O200292,P1118,3,490.88,0.1
O200292,P1016,2,157.28,0.0
O200292,P1036,2,134.12,0.0
O200293,P1066,1,174.9,0.0
O200293,P1087,1,191.19,0.0
O200293,P1054,5,123.08,0.0
O200294,P1119,2,383.32,0.0
O200294,P1022,5,379.38,0.1
O200294,P1090,5,270.64,0.05
O200294,P1059,5,218.93,0.05
O200295,P1042,5,149.83,0.1
O200295,P1118,5,490.88,0.15
O200296,P1004,1,353.67,0.2
O200296,P1060,3,337.64,0.15
O200297,P1110,5,178.83,0.15
O200297,P1063,5,206.06,0.15
O200298,P1097,1,311.32,0.1
O200298,P1006,1,243.37,0.0
O200299,P1050,3,167.02,0.15
O200299,P1048,3,65.04,0.0
O200299,P1041,3,325.82,0.0
O200299,P1111,5,172.59,0.0
O200300,P1112,4,167.78,0.15
O200300,P1115,4,46.67,0.1
O200301,P1066,5,174.9,0.05
O200301,P1015,4,111.69,0.2
O200301,P1067,2,76.41,0.1
O200302,P1071,4,533.7,0.2
O200302,P1068,5,57.56,0.15
O200302,P1011,1,164.37,0.15
O200303,P1021,4,259.91,0.0
O200303,P1048,2,65.04,0.05
O200303,P1047,3,143.09,0.0
O200304,P1108,1,160.48,0.05
O200305,P1038,3,89.11,0.1
O200305,P1100,3,45.05,0.0
O200305,P1116,4,277.81,0.0
O200306,P1091,3,325.59,0.0
O200307,P1045,1,431.1,0.0
O200307,P1105,5,171.79,0.1
O200307,P1013,3,147.66,0.05
O200308,P1033,2,224.24,0.0
O200308,P1009,1,177.77,0.0
O200308,P1047,5,143.09,0.15
O200309,P1115,3,46.67,0.05
O200310,P1119,4,383.32,0.0
O200310,P1044,1,311.76,0.0
O200310,P1045,4,431.1,0.0
O200311,P1035,4,344.78,0.2
O200312,P1066,5,174.9,0.0
O200312,P1033,1,224.24,0.05
