order_id,carrier,warehouse,promised_date,shipped_date,shipping_cost_gbp
O206797,DPDx,Berlin,2024-02-05,2024-02-08,22.78
O208319,DPDx,Berlin,2023-12-29,2024-01-02,16.03
O200959,DPDx,Berlin,2024-11-14,2024-11-13,9.26
O216904,RoyalShip,Berlin,2024-05-26,2024-05-27,15.17
O225043,RoyalShip,Madrid,2023-12-03,2023-12-07,10.54
O215816,RoyalShip,Manchester,2023-09-19,2023-09-18,7.64
O210545,FastFreight,Manchester,2024-05-20,2024-05-25,17.03
O213432,FastFreight,Madrid,2023-12-06,2023-12-02,15.69
O218958,EuroPost,Lyon,2023-06-23,2023-06-29,23.31
O202907,EuroPost,Berlin,2023-02-15,2023-02-20,26.11
O207428,EuroPost,Madrid,2023-12-09,2023-12-06,6.16
O210397,RoyalShip,Madrid,2023-05-24,2023-05-29,9.21
O200345,DPDx,Manchester,2024-06-05,2024-06-04,14.96
O224419,FastFreight,Lyon,2023-11-30,2023-12-03,8.68
O203441,FastFreight,Berlin,2023-02-04,2023-02-05,28.8
O220046,RoyalShip,Madrid,2023-01-26,2023-01-23,19.21
O204685,DPDx,Lyon,2024-10-08,2024-10-05,15.12
O204546,RoyalShip,Madrid,2024-08-17,2024-08-21,2.9
O219313,RoyalShip,Madrid,2023-03-06,2023-03-03,27.28
O202195,RoyalShip,Berlin,2024-08-04,2024-08-02,11.39
O202579,EuroPost,Manchester,2024-08-22,2024-08-24,26.53
O223071,DPDx,Berlin,2023-08-23,2023-08-19,9.67
O213505,DPDx,Manchester,2023-09-27,2023-10-01,2.86
O218388,RoyalShip,Manchester,2024-12-14,2024-12-16,25.74
O202009,EuroPost,Madrid,2023-08-25,2023-08-26,13.23
O201422,FastFreight,Berlin,2024-03-07,2024-03-04,9.79
O214958,FastFreight,Lyon,2023-11-15,2023-11-11,23.34
O204119,DPDx,Lyon,2024-04-13,2024-04-18,4.17
O211924,FastFreight,Madrid,2023-12-12,2023-12-15,18.7
O213369,DPDx,Manchester,2023-04-21,2023-04-22,12.47
O203351,EuroPost,Madrid,2023-01-30,2023-01-28,14.36
O221358,FastFreight,Lyon,2023-10-09,2023-10-08,23.84
O217473,FastFreight,Madrid,2024-07-25,2024-07-25,15.41
O206186,FastFreight,Berlin,2024-08-17,2024-08-19,18.23
O205647,DPDx,Manchester,2024-02-16,2024-02-20,4.99
O208406,RoyalShip,Berlin,2023-10-10,2023-10-16,24.94
O209577,DPDx,Madrid,2023-06-02,2023-06-01,22.24
O206244,RoyalShip,Lyon,2023-12-03,2023-12-09,25.83
O215315,FastFreight,Manchester,2023-12-04,2023-12-03,12.64
O201923,RoyalShip,Manchester,2024-11-25,2024-11-29,23.46
O222000,FastFreight,Berlin,2024-02-07,2024-02-13,18.25
O201448,EuroPost,Berlin,2024-03-31,2024-04-05,4.29
O202981,DPDx,Madrid,2024-11-25,2024-11-27,16.68
O200196,EuroPost,Berlin,2024-10-30,2024-10-31,13.47
O203000,EuroPost,Madrid,2024-11-03,2024-11-04,18.68
O220720,EuroPost,Manchester,2023-06-13,2023-06-09,27.09
O213758,EuroPost,Manchester,2024-04-11,2024-04-16,19.4
O221046,EuroPost,Manchester,2024-12-03,2024-12-05,8.52
O202748,DPDx,Madrid,2024-11-15,2024-11-17,16.51
O222782,DPDx,Madrid,2024-08-02,2024-08-01,19.05
O209169,RoyalShip,Manchester,2024-06-30,2024-07-05,13.55
O204160,RoyalShip,Manchester,2023-05-08,2023-05-05,18.9
O221827,DPDx,Berlin,2024-12-31,2025-01-05,20.44
O221994,RoyalShip,Manchester,2023-02-09,2023-02-08,27.48
O212794,FastFreight,Lyon,2025-01-05,2025-01-09,4.09
O212438,FastFreight,Madrid,2024-05-13,2024-05-09,20.59
O213447,DPDx,Berlin,2023-11-20,2023-11-17,7.92
O224706,RoyalShip,Lyon,2023-04-09,2023-04-13,3.69
O221935,RoyalShip,Lyon,2024-12-20,2024-12-22,24.49
O225456,RoyalShip,Lyon,2023-07-20,2023-07-22,23.24
O218005,FastFreight,Manchester,2023-12-04,2023-12-05,2.15
O210727,FastFreight,Madrid,2023-12-27,2023-12-25,28.98
O213661,FastFreight,Madrid,2023-12-29,2023-12-31,6.32
O222723,RoyalShip,Manchester,2024-03-18,2024-03-15,24.73
O207888,FastFreight,Lyon,2024-12-06,2024-12-05,13.04
O201202,EuroPost,Manchester,2024-04-15,2024-04-16,29.59
O208048,DPDx,Lyon,2024-01-04,2024-01-09,22.04
O218891,EuroPost,Lyon,2024-11-19,2024-11-25,14.08
O221840,DPDx,Manchester,2023-01-22,2023-01-27,26.77
O213672,DPDx,Madrid,2023-07-16,2023-07-15,29.6
O208870,DPDx,Berlin,2023-03-16,2023-03-21,22.32
O215603,FastFreight,Madrid,2024-02-06,2024-02-06,6.75
O206549,DPDx,Manchester,2024-09-23,2024-09-20,27.01
O219823,FastFreight,Manchester,2024-11-16,2024-11-16,11.6
O219267,RoyalShip,Berlin,2024-11-20,2024-11-24,29.78
O210803,FastFreight,Berlin,2023-11-10,2023-11-10,17.86
O215685,RoyalShip,Lyon,2023-09-12,2023-09-11,23.18
O210580,FastFreight,Manchester,2023-11-21,2023-11-19,19.85
O214814,FastFreight,Lyon,2023-12-30,2024-01-01,28.57
O206518,FastFreight,Manchester,2023-06-30,2023-07-02,23.18
O216425,FastFreight,Madrid,2024-12-16,2024-12-22,3.38
O222835,EuroPost,Madrid,2024-12-17,2024-12-19,18.14
O217829,EuroPost,Lyon,2024-09-30,2024-10-06,6.98
O214315,FastFreight,Madrid,2023-07-19,2023-07-19,10.67
O212983,EuroPost,Lyon,2023-08-27,2023-08-26,24.29
O217867,RoyalShip,Lyon,2024-09-18,2024-09-23,17.87
O211935,FastFreight,Manchester,2023-02-10,2023-02-14,16.32
O202214,RoyalShip,Madrid,2024-01-04,2024-01-10,14.17
O216185,RoyalShip,Berlin,2023-11-19,2023-11-21,21.71
O219141,EuroPost,Lyon,2024-05-30,2024-06-04,26.93
O215084,EuroPost,Madrid,2023-05-05,2023-05-08,28.03
O205535,FastFreight,Madrid,2023-12-24,2023-12-30,29.02
O212483,DPDx,Madrid,2024-08-20,2024-08-22,25.43
O217064,EuroPost,Lyon,2024-05-17,2024-05-19,7.76
O224542,RoyalShip,Madrid,2023-12-21,2023-12-17,25.54
O204810,FastFreight,Madrid,2023-03-05,2023-03-08,28.68
O214664,FastFreight,Madrid,2024-10-15,2024-10-13,27.06
O219690,EuroPost,Lyon,2024-11-07,2024-11-06,14.32
O204794,DPDx,Madrid,2023-04-07,2023-04-09,25.66
O225720,RoyalShip,Lyon,2024-12-10,2024-12-11,28.26
O219435,DPDx,Madrid,2023-05-19,2023-05-18,2.14
O207885,EuroPost,Manchester,2024-07-28,2024-07-31,18.22
O218560,RoyalShip,Madrid,2023-03-28,2023-03-27,17.69
O212575,EuroPost,Madrid,2023-08-27,2023-08-29,10.68
O222313,FastFreight,Lyon,2023-09-15,2023-09-11,7.09
O202435,RoyalShip,Lyon,2024-06-13,2024-06-17,4.91
O220693,RoyalShip,Lyon,2023-10-03,2023-10-06,9.36
O211176,FastFreight,Berlin,2024-02-07,2024-02-04,9.27
O201804,EuroPost,Berlin,2024-09-15,2024-09-17,18.33
O225885,DPDx,Berlin,2024-07-25,2024-07-21,28.54
O209712,RoyalShip,Madrid,2024-09-19,2024-09-17,2.98
O206904,FastFreight,Berlin,2023-11-20,2023-11-24,19.06
O208256,FastFreight,Berlin,2023-04-07,2023-04-13,17.12
O216707,RoyalShip,Manchester,2024-10-24,2024-10-29,28.88
O205076,EuroPost,Madrid,2024-12-03,2024-12-06,13.88
O205042,DPDx,Berlin,2023-07-30,2023-07-30,29.86
O202622,FastFreight,Lyon,2024-09-13,2024-09-11,7.17
O216689,EuroPost,Berlin,2024-11-09,2024-11-11,19.51
O210943,FastFreight,Manchester,2024-04-08,2024-04-13,26.61
O220737,FastFreight,Berlin,2024-05-19,2024-05-24,16.75
O203298,FastFreight,Lyon,2023-11-20,2023-11-22,2.29
O201227,FastFreight,Berlin,2023-02-03,2023-01-30,26.39
O222357,DPDx,Madrid,2025-01-03,2025-01-01,28.41
O208470,RoyalShip,Lyon,2023-07-29,2023-07-29,21.69
O204689,DPDx,Madrid,2023-06-26,2023-06-25,6.96
O212572,DPDx,Lyon,2023-05-10,2023-05-06,2.61
O224147,DPDx,Madrid,2023-09-18,2023-09-18,3.86
O214161,EuroPost,Berlin,2023-12-08,2023-12-12,18.4
O225883,RoyalShip,Madrid,2023-11-14,2023-11-18,25.81
O219757,FastFreight,Manchester,2024-11-06,2024-11-11,22.76
O222883,DPDx,Berlin,2024-03-03,2024-03-07,4.18
O214441,FastFreight,Berlin,2024-04-25,2024-04-28,25.28
O209453,DPDx,Lyon,2023-10-05,2023-10-03,17.28
O216670,EuroPost,Manchester,2023-08-27,2023-08-23,6.54
O219833,DPDx,Berlin,2023-03-09,2023-03-06,10.18
O216187,DPDx,Lyon,2023-12-19,2023-12-23,5.6
O200341,DPDx,Berlin,2023-11-18,2023-11-23,8.22
O202463,EuroPost,Berlin,2024-05-14,2024-05-13,21.88
O224417,FastFreight,Lyon,2024-02-15,2024-02-11,21.33
O204706,RoyalShip,Lyon,2023-12-06,2023-12-11,12.23
O206027,RoyalShip,Madrid,2024-11-29,2024-12-03,20.71
O205678,FastFreight,Berlin,2023-04-19,2023-04-20,17.61
O201122,FastFreight,Berlin,2023-05-01,2023-05-01,24.39
O217152,FastFreight,Berlin,2024-04-30,2024-04-27,22.51
O219039,RoyalShip,Manchester,2023-07-28,2023-07-27,20.81
O201915,RoyalShip,Berlin,2024-09-13,2024-09-18,8.83
O207305,DPDx,Lyon,2023-09-28,2023-10-02,28.63
O207891,FastFreight,Berlin,2024-06-09,2024-06-11,12.81
O204645,RoyalShip,Lyon,2024-06-18,2024-06-24,13.88
O206919,RoyalShip,Manchester,2024-09-11,2024-09-08,12.44
O222712,DPDx,Manchester,2024-12-03,2024-12-04,22.81
O210814,FastFreight,Lyon,2024-12-28,2024-12-31,29.26
O206689,DPDx,Manchester,2024-12-20,2024-12-17,16.55
O224890,DPDx,Lyon,2023-12-22,2023-12-24,23.39
O216784,RoyalShip,Lyon,2024-05-16,2024-05-15,19.05
O221184,EuroPost,Madrid,2024-03-22,2024-03-18,16.31
O213134,RoyalShip,Manchester,2023-03-23,2023-03-24,6.74
O224546,DPDx,Berlin,2023-11-16,2023-11-15,26.94
O208863,FastFreight,Berlin,2024-02-22,2024-02-20,6.01
O218209,EuroPost,Berlin,2023-11-10,2023-11-14,19.68
O209044,RoyalShip,Berlin,2024-04-03,2024-04-03,19.54
O223062,FastFreight,Lyon,2023-01-12,2023-01-10,20.17
O225519,RoyalShip,Manchester,2024-10-04,2024-10-07,6.46
O217496,EuroPost,Lyon,2024-05-28,2024-05-27,25.44
O202119,DPDx,Lyon,2023-12-12,2023-12-14,26.1
O206547,EuroPost,Berlin,2023-01-27,2023-01-29,19.19
O204306,DPDx,Madrid,2023-10-06,2023-10-06,9.26
O209217,DPDx,Berlin,2023-04-20,2023-04-21,12.8
O207808,FastFreight,Madrid,2024-02-10,2024-02-08,21.84
O215046,EuroPost,Madrid,2023-01-14,2023-01-14,5.07
O208344,DPDx,Madrid,2024-11-09,2024-11-15,10.43
O222600,EuroPost,Lyon,2024-01-23,2024-01-26,7.06
O205742,FastFreight,Lyon,2023-04-30,2023-05-01,27.08
O224955,FastFreight,Madrid,2023-04-26,2023-04-26,8.66
O200536,EuroPost,Berlin,2024-09-06,2024-09-06,28.72
O208703,DPDx,Madrid,2023-10-06,2023-10-07,5.06
O216700,EuroPost,Berlin,2023-08-23,2023-08-19,17.2
O206528,FastFreight,Madrid,2023-11-12,2023-11-18,6.85
O219517,RoyalShip,Lyon,2024-12-12,2024-12-12,7.29
O207001,RoyalShip,Lyon,2024-12-01,2024-12-07,12.23
O214265,EuroPost,Madrid,2024-11-30,2024-11-27,8.28
O211902,FastFreight,Lyon,2023-02-08,2023-02-12,3.39
O209043,RoyalShip,Manchester,2023-04-27,2023-05-03,21.28
O214065,EuroPost,Madrid,2024-02-22,2024-02-24,8.58
O211651,EuroPost,Lyon,2024-11-25,2024-11-29,10.36
O220690,EuroPost,Berlin,2023-11-11,2023-11-11,14.1
O219937,EuroPost,Lyon,2024-11-29,2024-11-27,3.73
O222514,RoyalShip,Berlin,2024-07-19,2024-07-20,24.73
O210581,FastFreight,Madrid,2024-02-07,2024-02-06,8.44
O222279,FastFreight,Berlin,2023-11-12,2023-11-17,8.2
O211724,RoyalShip,Lyon,2023-02-19,2023-02-17,12.81
O210605,EuroPost,Berlin,2024-11-30,2024-12-03,16.53
O224988,FastFreight,Lyon,2024-06-05,2024-06-07,2.88
O210274,DPDx,Madrid,2024-10-19,2024-10-21,22.43
O203581,RoyalShip,Berlin,2023-07-27,2023-07-23,28.47
O224396,DPDx,Madrid,2024-12-18,2024-12-22,27.65
O213459,RoyalShip,Madrid,2024-04-01,2024-04-05,12.39
O204877,DPDx,Manchester,2024-04-24,2024-04-29,25.57
O211331,DPDx,Manchester,2024-10-20,2024-10-20,3.51
O224165,DPDx,Madrid,2024-12-11,2024-12-09,19.65
O219361,EuroPost,Lyon,2023-03-20,2023-03-24,18.66
O209918,RoyalShip,Madrid,2024-01-20,2024-01-25,9.46
O224873,DPDx,Manchester,2023-04-28,2023-04-26,11.81
O219417,FastFreight,Berlin,2024-10-04,2024-09-30,29.11
O203901,FastFreight,Lyon,2024-05-05,2024-05-11,16.51
O216373,EuroPost,Manchester,2023-02-23,2023-02-27,19.44
O202764,EuroPost,Lyon,2024-08-20,2024-08-16,6.32
O204206,DPDx,Berlin,2024-03-27,2024-04-01,28.04
O211719,FastFreight,Berlin,2023-04-13,2023-04-18,8.76
O208489,FastFreight,Lyon,2024-03-01,2024-02-26,22.98
O210144,RoyalShip,Manchester,2023-09-30,2023-09-27,8.03
O221171,EuroPost,Berlin,2024-01-22,2024-01-27,11.18
O212092,DPDx,Madrid,2023-08-13,2023-08-11,29.36
O205802,DPDx,Manchester,2023-04-01,2023-03-29,18.25
O209192,FastFreight,Manchester,2024-01-14,2024-01-13,19.74
O220300,RoyalShip,Lyon,2024-04-13,2024-04-10,22.77
O212281,DPDx,Manchester,2023-04-17,2023-04-15,22.02
O209851,FastFreight,Lyon,2023-09-07,2023-09-09,21.49
O207589,FastFreight,Berlin,2024-10-11,2024-10-14,6.59
O204178,DPDx,Manchester,2023-08-03,2023-08-04,25.35
O210843,RoyalShip,Manchester,2023-09-27,2023-10-01,8.33
O204057,EuroPost,Manchester,2024-03-29,2024-03-25,4.38
O219220,FastFreight,Berlin,2024-08-24,2024-08-28,29.71
O214972,FastFreight,Berlin,2025-01-03,2025-01-09,5.01
O212565,FastFreight,Madrid,2024-12-25,2024-12-28,22.08
O213602,DPDx,Berlin,2024-03-26,2024-03-22,18.45
O215000,RoyalShip,Berlin,2023-12-28,2024-01-02,15.15
O221305,FastFreight,Manchester,2023-06-13,2023-06-12,24.53
O223201,FastFreight,Manchester,2023-11-23,2023-11-20,16.15
O218897,EuroPost,Madrid,2023-08-24,2023-08-26,10.4
O217553,FastFreight,Berlin,2023-06-04,2023-06-06,27.18
O213981,FastFreight,Berlin,2023-08-19,2023-08-24,6.78
O207112,EuroPost,Manchester,2024-02-15,2024-02-12,29.67
O213616,EuroPost,Madrid,2023-11-24,2023-11-30,21.78
O217057,FastFreight,Manchester,2024-10-19,2024-10-19,18.34
O225002,EuroPost,Berlin,2023-02-07,2023-02-13,9.79
O200230,FastFreight,Madrid,2023-10-02,2023-09-30,25.31
O221543,RoyalShip,Berlin,2024-12-17,2024-12-14,18.31
O225252,RoyalShip,Berlin,2023-01-15,2023-01-16,12.13
O203352,RoyalShip,Berlin,2023-11-25,2023-11-26,28.09
O221390,FastFreight,Lyon,2024-10-12,2024-10-10,8.77
O217652,DPDx,Berlin,2024-12-12,2024-12-11,18.55
O208857,FastFreight,Manchester,2024-03-29,2024-03-28,18.57
O225319,FastFreight,Lyon,2024-10-02,2024-10-06,25.08
O217895,FastFreight,Madrid,2024-07-06,2024-07-10,23.03
O203096,FastFreight,Manchester,2023-05-01,2023-05-01,20.79
O219006,FastFreight,Berlin,2024-06-19,2024-06-17,27.85
O205923,DPDx,Lyon,2023-11-24,2023-11-26,29.07
O221590,RoyalShip,Madrid,2023-10-08,2023-10-13,11.21
O225198,EuroPost,Manchester,2024-12-01,2024-12-05,8.35
O209291,RoyalShip,Lyon,2023-12-09,2023-12-14,6.55
O204258,FastFreight,Madrid,2024-12-26,2024-12-31,5.58
O209653,RoyalShip,Manchester,2023-01-14,2023-01-15,9.38
O206455,RoyalShip,Madrid,2024-05-23,2024-05-22,16.19
O203229,FastFreight,Madrid,2023-03-05,2023-03-03,14.35
O204047,DPDx,Madrid,2023-04-21,2023-04-27,27.05
O207268,EuroPost,Madrid,2023-05-31,2023-05-30,11.55
O209266,DPDx,Lyon,2023-12-29,2024-01-03,3.73
O220201,EuroPost,Madrid,2023-12-31,2024-01-02,29.98
O217481,EuroPost,Manchester,2024-12-03,2024-12-01,26.81
O223726,DPDx,Lyon,2024-07-28,2024-08-02,2.03
O220293,RoyalShip,Madrid,2024-12-07,2024-12-11,11.58
O216712,DPDx,Madrid,2023-11-15,2023-11-21,20.5
O211242,RoyalShip,Manchester,2023-10-13,2023-10-11,25.55
O208317,FastFreight,Lyon,2024-04-18,2024-04-16,15.87
O221019,EuroPost,Manchester,2024-11-19,2024-11-24,20.34
O210608,FastFreight,Lyon,2023-01-30,2023-01-28,15.09
O205925,RoyalShip,Berlin,2025-01-03,2024-12-31,2.6
O206346,EuroPost,Madrid,2023-08-04,2023-08-07,15.22
O209559,FastFreight,Madrid,2023-05-18,2023-05-23,25.09
O210105,RoyalShip,Madrid,2023-08-25,2023-08-28,11.83
O204229,EuroPost,Lyon,2024-01-18,2024-01-16,4.37
O221716,DPDx,Berlin,2023-12-14,2023-12-14,6.57
O223647,DPDx,Madrid,2024-12-16,2024-12-14,6.23
O218679,RoyalShip,Madrid,2023-12-17,2023-12-16,6.88
O215910,RoyalShip,Berlin,2024-12-19,2024-12-15,12.71
O206934,EuroPost,Lyon,2025-01-05,2025-01-03,12.87
O204449,FastFreight,Manchester,2024-04-22,2024-04-18,20.06
O210513,EuroPost,Lyon,2024-08-24,2024-08-20,5.5
O214145,RoyalShip,Manchester,2024-01-23,2024-01-25,9.23
O216703,EuroPost,Madrid,2024-06-05,2024-06-11,9.89
O221007,FastFreight,Manchester,2023-09-29,2023-09-30,20.71
O202937,RoyalShip,Berlin,2023-09-29,2023-09-26,13.07
O206688,EuroPost,Manchester,2024-02-20,2024-02-17,9.44
O200843,DPDx,Lyon,2024-04-12,2024-04-14,12.42
O218933,DPDx,Manchester,2024-01-31,2024-02-06,26.09
O220178,FastFreight,Manchester,2023-11-14,2023-11-14,13.44
O221341,DPDx,Manchester,2023-10-20,2023-10-20,14.01
O212860,DPDx,Madrid,2023-02-17,2023-02-19,11.74
O209383,EuroPost,Manchester,2024-06-26,2024-06-25,14.29
O218986,DPDx,Manchester,2023-02-20,2023-02-18,19.68
O219641,FastFreight,Manchester,2023-02-28,2023-02-25,27.49
O203547,RoyalShip,Berlin,2023-03-10,2023-03-10,14.4
O203014,RoyalShip,Lyon,2024-01-23,2024-01-24,26.55
O209623,EuroPost,Berlin,2023-09-13,2023-09-09,5.62
O201808,DPDx,Madrid,2024-06-16,2024-06-12,6.01
O213096,FastFreight,Madrid,2024-01-30,2024-01-27,12.34
O211453,RoyalShip,Manchester,2023-11-29,2023-11-25,6.86
O203617,DPDx,Manchester,2023-07-06,2023-07-09,9.14
O215081,DPDx,Madrid,2024-10-19,2024-10-18,7.8
O210008,EuroPost,Lyon,2024-07-19,2024-07-25,4.52
O207502,RoyalShip,Lyon,2024-04-19,2024-04-15,11.93
O210276,RoyalShip,Berlin,2024-12-07,2024-12-06,25.05
O214689,FastFreight,Manchester,2025-01-04,2025-01-01,14.1
O216213,FastFreight,Berlin,2024-07-08,2024-07-12,17.66
O213781,FastFreight,Lyon,2023-11-06,2023-11-02,28.61
O220065,FastFreight,Lyon,2023-12-13,2023-12-16,29.48
O219693,DPDx,Berlin,2023-03-12,2023-03-12,29.54
O223864,DPDx,Berlin,2024-05-14,2024-05-14,6.95
O204785,RoyalShip,Berlin,2024-08-27,2024-08-30,14.89
O215108,DPDx,Madrid,2023-05-19,2023-05-25,10.05
O222511,RoyalShip,Berlin,2023-07-06,2023-07-06,6.26
O202496,DPDx,Lyon,2024-12-15,2024-12-19,24.81
