show_id,type,title,country,release_year,rating,duration,date_added,listed_in
s28,movie,Title 28,Japan,1972,TV-PG,91 min,"January 20, 2023",Action & Adventure
s29,TV Show,Title 29,South Korea,1955,PG-13,65 min,"February 17, 2013",Comedies
s30,Movie,Title 30,South Korea,1989,TV-MA,155 min,"January 06, 2022",Action & Adventure
s31,Movie,Title 31,United Kingdom,1980,R,108 min,"October 06, 2017",Documentaries
s32,Movie,Title 32,India,1997,TV-PG,104 min,"September 27, 2014",Action & Adventure
s33,Movie,Title 33,United States,2007,PG,150 min,"August 16, 2021",Comedies
s34,Movie,Title 34,us,1985,PG,67 min,"November 11, 2022","Kids' TV, Children"
s35,TV Show,Title 35,Japan,1987,TV-14,1 Seasons,"August 06, 2016",Action & Adventure
s36,Movie,Title 36,Japan,2004,PG,72 min,"March 08, 2009",Comedies
s37,Movie,Title 37,South Korea,2005,PG,2 Seasons,"October 24, 2023","Dramas, International"
s38,Movie,Title 38,India,2021,PG-13,75 min,"September 28, 2020","Dramas, International"
s39,TV Show,Title 39,,1991,PG,6 Seasons,"January 25, 2015","Kids' TV, Children"
s40,Movie,Title 40,,1966,TV-MA,6 Seasons,"November 23, 2013",Comedies
s41,Movie,Title 41,,1991,TV-14,6 Seasons,"July 04, 2008",Documentaries
s42,TV Show,Title 42,India,1971,nan,136 min,"March 22, 2022",Comedies
s43,Movie,Title 43,,1989,R,5 Seasons,"June 27, 2014",Action & Adventure
s44,TV Show,Title 44,Japan,1997,TV-PG,7 Seasons,"June 27, 2008","Dramas, International"
s45,TV Show,Title 45,India,1969,PG,6 Seasons,"March 12, 2009","Kids' TV, Children"
s46,TV Show,Title 46,,1983,nan,95 min,"June 13, 2017",Action & Adventure
s47,Movie,Title 47,South Korea,1956,PG,83 min,"June 11, 2021","Dramas, International"
s48,Movie,Title 48,United Kingdom,1977,R,151 min,"February 21, 2009",Documentaries
s49,Movie,Title 49,United Kingdom,2021,nan,109 min,"July 07, 2022","Kids' TV, Children"
s50,TV Show,Title 50,South Korea,1990,nan,92 min,"November 02, 2012",Action & Adventure
s51,Movie,Title 51,India,1992,nan,93 min,"July 13, 2009",Action & Adventure
s52,Movie,Title 52,Japan,2003,nan,3 Seasons,"April 11, 2017","Kids' TV, Children"
s53,Movie,Title 53,United Kingdom,2017,PG-13,1 Seasons,"October 06, 2010",Documentaries
s54,Movie,Title 54,,2018,R,138 min,"April 13, 2010",Documentaries
s55,Movie,Title 55,Japan,1955,nan,4 Seasons,"July 31, 2009","Dramas, International"
s56,Movie,Title 56,United States,2020,nan,107 min,"May 28, 2019","Kids' TV, Children"
s57,TV Show,Title 57,United States,1973,R,79 min,"January 15, 2016",Documentaries
s58,Movie,Title 58,United States,2012,TV-PG,8 Seasons,"June 03, 2016","Kids' TV, Children"
s59,tv show,Title 59,South Korea,1961,PG,148 min,"February 16, 2012",Comedies
s60,Movie,Title 60,Japan,1979,TV-MA,97 min,"September 04, 2011",Documentaries
s61,TV Show,Title 61,United Kingdom,1977,PG,79 min,"June 27, 2013","Kids' TV, Children"
s62,TV Show,Title 62,South Korea,2016,TV-MA,88 min,"November 01, 2016",Action & Adventure
s63,TV Show,Title 63,United Kingdom,1980,nan,113 min,"May 30, 2013","Dramas, International"
s64,Movie,Title 64,Japan,2004,PG-13,165 min,"April 29, 2015",Documentaries
s65,Movie,Title 65,us,1982,TV-14,154 min,"February 17, 2010","Dramas, International"
s66,Movie,Title 66,South Korea,1967,R,7 Seasons,"July 20, 2008",Comedies
s67,Movie,Title 67,us,2007,TV-MA,4 Seasons,"July 05, 2021",Documentaries
s68,Movie,Title 68,United States,2021,PG,79 min,"August 28, 2019",Action & Adventure
s69,tv show,Title 69,United Kingdom,2014,TV-PG,86 min,"July 21, 2023",Action & Adventure
s70,Movie,Title 70,South Korea,1972,R,3 Seasons,"September 27, 2019",Action & Adventure
s71,TV Show,Title 71,United Kingdom,2012,PG-13,1 Seasons,"June 21, 2021","Kids' TV, Children"
s72,Movie,Title 72,South Korea,2002,nan,121 min,"December 13, 2022",Comedies
s73,TV Show,Title 73,United States,1989,TV-MA,61 min,"September 24, 2017","Kids' TV, Children"
s74,TV Show,Title 74,Japan,2003,TV-PG,1 Seasons,"June 20, 2023",Action & Adventure
s75,Movie,Title 75,India,1996,TV-PG,139 min,"February 08, 2022",Documentaries
s76,TV Show,Title 76,us,2018,TV-MA,3 Seasons,"January 31, 2014",Documentaries
s77,movie,Title 77,us,1973,nan,8 Seasons,"September 09, 2018","Dramas, International"
s78,movie,Title 78,Japan,2001,PG-13,7 Seasons,"July 25, 2018","Dramas, International"
s79,Movie,Title 79,,1966,nan,3 Seasons,"December 25, 2018","Kids' TV, Children"
s80,Movie,Title 80,India,2023,nan,7 Seasons,"December 25, 2017",Action & Adventure
s81,Movie,Title 81,Japan,1977,TV-14,6 Seasons,"February 12, 2022",Documentaries
s82,movie,Title 82,Japan,1959,TV-PG,77 min,"November 10, 2008",Documentaries
s83,Movie,Title 83,,2009,PG,129 min,"September 07, 2008",Action & Adventure
s84,Movie,Title 84,Japan,1957,TV-MA,96 min,"November 22, 2019","Kids' TV, Children"
s85,TV Show,Title 85,South Korea,1966,PG-13,67 min,"January 10, 2011",Comedies
s86,TV Show,Title 86,us,1968,PG,3 Seasons,"June 23, 2012","Kids' TV, Children"
s87,Movie,Title 87,India,1979,TV-MA,86 min,"June 06, 2016","Dramas, International"
s88,Movie,Title 88,India,1995,TV-MA,142 min,"December 24, 2014","Dramas, International"
s89,Movie,Title 89,,1995,R,110 min,"March 28, 2019","Kids' TV, Children"
s90,Movie,Title 90,United States,1984,R,2 Seasons,"March 12, 2018",Comedies
s91,Movie,Title 91,India,2016,nan,4 Seasons,"September 20, 2022",Documentaries
s92,TV Show,Title 92,India,1960,nan,8 Seasons,"April 14, 2016",Action & Adventure
s93,Movie,Title 93,India,1967,TV-PG,147 min,"March 27, 2012","Dramas, International"
s94,Movie,Title 94,,1969,TV-MA,1 Seasons,"August 06, 2012",Comedies
s95,Movie,Title 95,United States,1966,PG,2 Seasons,"August 01, 2012",Action & Adventure
s96,TV Show,Title 96,India,1995,TV-PG,123 min,"May 05, 2022","Kids' TV, Children"
s97,Movie,Title 97,South Korea,2007,R,5 Seasons,"March 16, 2011","Dramas, International"
s98,Movie,Title 98,United States,1983,R,144 min,"July 16, 2009",Action & Adventure
s99,Movie,Title 99,United Kingdom,1990,TV-MA,3 Seasons,"September 01, 2017",Comedies
s100,Movie,Title 100,India,2008,nan,8 Seasons,"November 25, 2017","Kids' TV, Children"
s101,tv show,Title 101,,2010,R,3 Seasons,"July 20, 2020","Dramas, International"
s102,TV Show,Title 102,us,1987,nan,5 Seasons,"January 14, 2011",Comedies
s103,Movie,Title 103,India,2006,R,123 min,"February 23, 2024","Kids' TV, Children"
s104,Movie,Title 104,Japan,2016,TV-MA,7 Seasons,"March 11, 2023",Action & Adventure
s105,TV Show,Title 105,South Korea,1987,TV-14,3 Seasons,"August 20, 2020",Action & Adventure
s106,Movie,Title 106,South Korea,2008,PG,5 Seasons,"May 20, 2023",Action & Adventure
s107,Movie,Title 107,South Korea,2002,TV-14,7 Seasons,"July 30, 2013",Comedies
s108,TV Show,Title 108,,1989,nan,2 Seasons,"September 21, 2019",Action & Adventure
s109,Movie,Title 109,South Korea,1989,PG-13,4 Seasons,"March 03, 2013",Documentaries
s110,Movie,Title 110,South Korea,1980,TV-14,4 Seasons,"July 10, 2022","Kids' TV, Children"
s111,TV Show,Title 111,Japan,2015,PG-13,88 min,"May 28, 2010",Documentaries
s112,movie,Title 112,South Korea,1969,PG,5 Seasons,"August 03, 2020",Comedies
s113,Movie,Title 113,United Kingdom,1975,TV-14,62 min,"October 25, 2015","Dramas, International"
s114,movie,Title 114,us,1975,TV-14,123 min,"September 29, 2018",Comedies
s115,Movie,Title 115,United Kingdom,1968,nan,170 min,"September 08, 2021",Comedies
s116,TV Show,Title 116,United States,1979,TV-14,7 Seasons,"April 12, 2020","Kids' TV, Children"
s117,TV Show,Title 117,United States,2004,PG-13,6 Seasons,"August 29, 2013",Action & Adventure
s118,Movie,Title 118,South Korea,1980,PG-13,124 min,"December 17, 2022","Dramas, International"
s119,Movie,Title 119,Japan,1965,PG-13,8 Seasons,"December 14, 2018","Dramas, International"
s120,TV Show,Title 120,India,1967,PG-13,4 Seasons,"July 25, 2011",Documentaries
s121,Movie,Title 121,United Kingdom,1986,TV-MA,2 Seasons,"August 27, 2013",Documentaries
s122,TV Show,Title 122,Japan,1988,nan,121 min,"December 24, 2019","Kids' TV, Children"
s123,TV Show,Title 123,United States,1981,nan,128 min,"February 27, 2019",Action & Adventure
s124,Movie,Title 124,India,1962,TV-14,5 Seasons,"December 12, 2010","Kids' TV, Children"
s125,TV Show,Title 125,United States,1989,nan,141 min,"September 18, 2014",Comedies
s126,Movie,Title 126,,2015,PG-13,1 Seasons,"July 28, 2015",Action & Adventure
s127,Movie,Title 127,United Kingdom,1986,TV-PG,3 Seasons,"January 05, 2013","Kids' TV, Children"
s128,Movie,Title 128,India,1993,R,99 min,"August 01, 2013","Dramas, International"
s129,Movie,Title 129,India,2004,PG-13,136 min,"June 05, 2008","Dramas, International"
s130,Movie,Title 130,United Kingdom,1961,PG,5 Seasons,"May 30, 2018","Kids' TV, Children"
s131,movie,Title 131,Japan,1994,PG-13,8 Seasons,"August 05, 2021","Dramas, International"
s132,Movie,Title 132,India,1977,nan,6 Seasons,"June 30, 2018",Documentaries
s133,Movie,Title 133,India,1985,nan,4 Seasons,"April 27, 2009","Kids' TV, Children"
s134,Movie,Title 134,South Korea,1972,PG,111 min,"October 28, 2022",Comedies
s135,movie,Title 135,United States,1963,PG,164 min,"June 16, 2019","Kids' TV, Children"
s136,Movie,Title 136,Japan,1965,nan,6 Seasons,"October 17, 2021","Dramas, International"
s137,tv show,Title 137,United States,1998,nan,65 min,"January 02, 2015",Action & Adventure
s138,Movie,Title 138,Japan,1988,TV-MA,5 Seasons,"January 25, 2009","Dramas, International"
s139,Movie,Title 139,India,1961,TV-MA,2 Seasons,"February 28, 2011",Action & Adventure
s140,TV Show,Title 140,United Kingdom,1967,PG,104 min,"November 05, 2010","Dramas, International"
s141,TV Show,Title 141,us,2006,nan,163 min,"October 27, 2008","Kids' TV, Children"
s142,Movie,Title 142,India,1965,TV-14,2 Seasons,"September 25, 2008",Documentaries
s143,Movie,Title 143,,2014,TV-PG,4 Seasons,"September 23, 2012",Documentaries
s144,TV Show,Title 144,South Korea,2004,nan,155 min,"September 02, 2019",Comedies
s145,Movie,Title 145,United Kingdom,2001,PG,7 Seasons,"August 22, 2015","Kids' TV, Children"
s146,movie,Title 146,,1985,PG,170 min,"September 08, 2013",Comedies
s147,Movie,Title 147,,1966,PG,143 min,"November 06, 2008","Kids' TV, Children"
s148,Movie,Title 148,,2002,TV-MA,6 Seasons,"January 07, 2024","Kids' TV, Children"
s149,Movie,Title 149,,1986,TV-14,4 Seasons,"December 23, 2023","Dramas, International"
s150,movie,Title 150,South Korea,1987,TV-PG,86 min,"July 09, 2011","Dramas, International"
s151,Movie,Title 151,India,2004,PG,143 min,"November 04, 2010",Action & Adventure
s152,TV Show,Title 152,us,1990,R,6 Seasons,"September 17, 2023",Documentaries
s153,TV Show,Title 153,South Korea,1958,PG,7 Seasons,"March 31, 2023",Comedies
s154,TV Show,Title 154,India,1976,R,120 min,"June 05, 2020","Kids' TV, Children"
s155,TV Show,Title 155,United Kingdom,1998,nan,69 min,"April 13, 2020",Comedies
s156,tv show,Title 156,Japan,1984,TV-MA,8 Seasons,"July 09, 2020","Kids' TV, Children"
s157,Movie,Title 157,United States,1968,PG,6 Seasons,"October 22, 2019","Dramas, International"
s158,Movie,Title 158,United Kingdom,1988,nan,60 min,"December 24, 2017",Action & Adventure
s159,Movie,Title 159,United Kingdom,1979,R,2 Seasons,"October 12, 2021",Documentaries
s160,Movie,Title 160,us,1978,R,7 Seasons,"July 14, 2022",Documentaries
s161,Movie,Title 161,us,1971,nan,6 Seasons,"October 08, 2016","Kids' TV, Children"
s162,movie,Title 162,us,2012,nan,4 Seasons,"November 06, 2011","Dramas, International"
s163,TV Show,Title 163,,1995,PG-13,4 Seasons,"June 06, 2017","Dramas, International"
s164,Movie,Title 164,us,1972,TV-MA,162 min,"April 10, 2022",Comedies
s165,TV Show,Title 165,,2007,nan,6 Seasons,"July 10, 2010",Documentaries
s166,Movie,Title 166,South Korea,1970,PG,5 Seasons,"June 21, 2022",Action & Adventure
s167,Movie,Title 167,us,1973,nan,80 min,"October 23, 2014",Documentaries
s168,TV Show,Title 168,,1979,PG-13,1 Seasons,"December 17, 2017",Action & Adventure
s169,Movie,Title 169,us,2021,PG,153 min,"July 10, 2008",Documentaries
s170,tv show,Title 170,United Kingdom,2009,R,143 min,"November 12, 2018",Action & Adventure
s171,Movie,Title 171,United States,1999,PG-13,171 min,"August 14, 2020","Dramas, International"
s172,TV Show,Title 172,,2014,PG,5 Seasons,"October 04, 2011","Kids' TV, Children"
s173,TV Show,Title 173,United States,2014,R,141 min,"March 11, 2011","Dramas, International"
s174,Movie,Title 174,South Korea,1994,TV-PG,2 Seasons,"January 26, 2016",Documentaries
s175,Movie,Title 175,,2016,TV-14,4 Seasons,"June 28, 2009","Dramas, International"
s176,Movie,Title 176,,1980,nan,74 min,"August 22, 2017","Kids' TV, Children"
s177,TV Show,Title 177,,1981,PG,1 Seasons,"June 12, 2022","Dramas, International"
s178,TV Show,Title 178,us,2000,TV-14,107 min,"March 11, 2013","Kids' TV, Children"
s179,TV Show,Title 179,,2022,TV-MA,1 Seasons,"September 06, 2019",Comedies
s180,Movie,Title 180,South Korea,2012,nan,127 min,"September 10, 2008","Dramas, International"
s181,movie,Title 181,,2022,PG,3 Seasons,"September 21, 2012","Dramas, International"
s182,TV Show,Title 182,us,1972,TV-MA,4 Seasons,"August 07, 2023","Dramas, International"
s183,TV Show,Title 183,South Korea,1985,nan,6 Seasons,"July 07, 2017",Comedies
s184,Movie,Title 184,United States,2001,TV-MA,1 Seasons,"March 28, 2021","Kids' TV, Children"
s185,movie,Title 185,United States,2020,PG-13,111 min,"March 16, 2014",Comedies
s186,Movie,Title 186,,2004,PG-13,77 min,"December 30, 2013",Comedies
s187,Movie,Title 187,South Korea,2018,R,1 Seasons,"May 13, 2019",Action & Adventure
s188,Movie,Title 188,Japan,1982,TV-14,6 Seasons,"September 27, 2016",Documentaries
s189,Movie,Title 189,India,1998,nan,117 min,"July 15, 2018","Kids' TV, Children"
s190,Movie,Title 190,United Kingdom,1965,TV-PG,125 min,"September 16, 2017",Documentaries
s191,Movie,Title 191,United States,1972,PG-13,150 min,"March 25, 2018",Action & Adventure
s192,Movie,Title 192,United Kingdom,1997,R,6 Seasons,"September 26, 2023","Kids' TV, Children"
s193,Movie,Title 193,Japan,1971,TV-MA,70 min,"October 16, 2021","Kids' TV, Children"
s194,Movie,Title 194,United Kingdom,1969,PG-13,4 Seasons,"March 04, 2017","Dramas, International"
s195,Movie,Title 195,,1962,TV-14,122 min,"April 15, 2014",Documentaries
s196,TV Show,Title 196,India,1980,TV-PG,90 min,"November 20, 2019",Documentaries
s197,Movie,Title 197,United States,1974,TV-14,5 Seasons,"November 04, 2017",Comedies
s198,Movie,Title 198,,1993,nan,7 Seasons,"March 11, 2021",Documentaries
s199,movie,Title 199,Japan,1995,TV-PG,6 Seasons,"May 11, 2020",Documentaries
s200,Movie,Title 200,United States,2022,PG,2 Seasons,"August 25, 2009","Dramas, International"
s201,TV Show,Title 201,India,1997,PG-13,6 Seasons,"March 06, 2020",Action & Adventure
s202,TV Show,Title 202,Japan,1965,PG,1 Seasons,"July 23, 2017",Documentaries
s203,TV Show,Title 203,,1984,PG-13,82 min,"June 05, 2009","Dramas, International"
s204,Movie,Title 204,United Kingdom,1960,nan,104 min,"April 11, 2023","Kids' TV, Children"
s205,Movie,Title 205,us,1993,TV-PG,123 min,"March 09, 2011","Kids' TV, Children"
s206,Movie,Title 206,us,1992,PG-13,114 min,"July 14, 2021","Dramas, International"
s207,TV Show,Title 207,,2014,nan,88 min,"May 28, 2014",Action & Adventure
s208,tv show,Title 208,South Korea,2021,nan,2 Seasons,"February 22, 2023",Comedies
s209,TV Show,Title 209,,2020,TV-14,99 min,"April 14, 2021","Dramas, International"
s210,Movie,Title 210,Japan,1958,TV-14,174 min,"August 31, 2010",Action & Adventure
s211,Movie,Title 211,,1957,TV-MA,4 Seasons,"July 18, 2017",Documentaries
s212,Movie,Title 212,,1999,TV-MA,2 Seasons,"October 09, 2020",Documentaries
s213,Movie,Title 213,,2021,TV-MA,135 min,"May 13, 2022",Action & Adventure
s214,TV Show,Title 214,,1956,TV-PG,74 min,"August 01, 2012",Action & Adventure
s215,TV Show,Title 215,,2011,TV-PG,1 Seasons,"November 21, 2015",Action & Adventure
s216,Movie,Title 216,South Korea,1993,TV-14,139 min,"May 21, 2022",Comedies
s217,TV Show,Title 217,United Kingdom,1994,TV-PG,61 min,"September 28, 2022",Documentaries
s218,TV Show,Title 218,United States,1963,PG-13,2 Seasons,"November 18, 2020","Dramas, International"
s219,Movie,Title 219,us,1988,PG-13,94 min,"February 15, 2015",Documentaries
s220,TV Show,Title 220,United Kingdom,2001,R,93 min,"February 28, 2014",Comedies
s221,TV Show,Title 221,United States,2004,PG,5 Seasons,"October 24, 2019","Dramas, International"
s222,Movie,Title 222,South Korea,1980,TV-MA,109 min,"July 07, 2017","Kids' TV, Children"
s223,Movie,Title 223,South Korea,2003,nan,5 Seasons,"December 24, 2011",Comedies
s224,TV Show,Title 224,us,2000,PG-13,92 min,"September 17, 2015",Documentaries
s225,TV Show,Title 225,,2005,R,2 Seasons,"December 09, 2016",Action & Adventure
s226,Movie,Title 226,South Korea,1973,PG-13,6 Seasons,"June 19, 2023",Comedies
s227,TV Show,Title 227,us,2020,TV-PG,1 Seasons,"August 22, 2008","Dramas, International"
s228,TV Show,Title 228,India,1960,TV-MA,2 Seasons,"February 05, 2017",Action & Adventure
s229,TV Show,Title 229,United States,1957,TV-MA,119 min,"January 31, 2022","Kids' TV, Children"
s230,TV Show,Title 230,United States,1967,PG,137 min,"April 10, 2009",Documentaries
s231,Movie,Title 231,United States,1959,nan,5 Seasons,"October 18, 2020","Kids' TV, Children"
s232,TV Show,Title 232,South Korea,1974,R,73 min,"October 17, 2016","Dramas, International"
s233,TV Show,Title 233,Japan,1991,TV-14,8 Seasons,"April 04, 2011","Dramas, International"
s234,TV Show,Title 234,United Kingdom,1966,TV-14,129 min,"April 25, 2008",Comedies
s235,Movie,Title 235,South Korea,1976,R,131 min,"April 08, 2024",Action & Adventure
s236,Movie,Title 236,us,1968,TV-PG,8 Seasons,"March 27, 2010","Kids' TV, Children"
s237,TV Show,Title 237,United Kingdom,2015,nan,6 Seasons,"August 26, 2021","Kids' TV, Children"
s238,Movie,Title 238,South Korea,1993,PG-13,154 min,"January 24, 2016","Dramas, International"
s239,Movie,Title 239,,1997,PG-13,1 Seasons,"April 17, 2012","Dramas, International"
s240,movie,Title 240,,1985,TV-MA,8 Seasons,"July 31, 2015",Action & Adventure
s241,Movie,Title 241,Japan,1993,TV-PG,8 Seasons,"July 02, 2011","Kids' TV, Children"
s242,Movie,Title 242,South Korea,2012,nan,5 Seasons,"February 17, 2009",Comedies
s243,Movie,Title 243,United Kingdom,2024,TV-14,128 min,"March 02, 2022","Kids' TV, Children"
s244,TV Show,Title 244,United Kingdom,1989,PG-13,79 min,"August 05, 2013",Action & Adventure
s245,Movie,Title 245,us,1987,TV-14,96 min,"June 01, 2020",Action & Adventure
s246,Movie,Title 246,India,1992,TV-MA,3 Seasons,"September 18, 2012","Dramas, International"
s247,Movie,Title 247,South Korea,1991,TV-PG,4 Seasons,"January 18, 2012",Comedies
s248,TV Show,Title 248,India,2004,PG-13,153 min,"September 16, 2012",Action & Adventure
s249,TV Show,Title 249,,1970,nan,7 Seasons,"October 03, 2010",Documentaries
s250,Movie,Title 250,us,2014,TV-14,2 Seasons,"April 12, 2015","Kids' TV, Children"
s251,Movie,Title 251,Japan,1959,TV-14,5 Seasons,"August 03, 2012","Kids' TV, Children"
s252,Movie,Title 252,us,1995,TV-MA,139 min,"July 26, 2008","Dramas, International"
s253,Movie,Title 253,Japan,2023,PG-13,68 min,"June 08, 2016",Action & Adventure
s254,Movie,Title 254,South Korea,1957,PG-13,3 Seasons,"July 14, 2008","Kids' TV, Children"
s255,Movie,Title 255,us,2017,PG-13,169 min,"November 08, 2015","Kids' TV, Children"
s256,Movie,Title 256,United States,1987,TV-14,8 Seasons,"November 11, 2011","Dramas, International"
s257,Movie,Title 257,,2014,TV-MA,147 min,"May 27, 2023","Kids' TV, Children"
s258,TV Show,Title 258,United States,1957,TV-14,3 Seasons,"October 07, 2019","Dramas, International"
s259,Movie,Title 259,us,2016,PG,88 min,"June 28, 2012",Comedies
s260,Movie,Title 260,India,1997,PG,3 Seasons,"May 22, 2023","Kids' TV, Children"
s261,Movie,Title 261,,2002,TV-MA,5 Seasons,"November 10, 2012","Dramas, International"
s262,TV Show,Title 262,Japan,1959,TV-14,92 min,"May 28, 2020",Documentaries
s263,Movie,Title 263,Japan,1982,PG,4 Seasons,"January 24, 2016",Documentaries
s264,Movie,Title 264,,1992,TV-MA,124 min,"April 05, 2009","Dramas, International"
s265,Movie,Title 265,India,1970,PG-13,6 Seasons,"October 12, 2022",Documentaries
s266,Movie,Title 266,us,1965,TV-14,8 Seasons,"July 20, 2021",Action & Adventure
s267,movie,Title 267,,2001,nan,1 Seasons,"April 05, 2017",Documentaries
s268,Movie,Title 268,Japan,2014,PG-13,5 Seasons,"June 19, 2021",Documentaries
s269,Movie,Title 269,United Kingdom,1968,PG-13,5 Seasons,"March 20, 2011","Dramas, International"
s270,TV Show,Title 270,Japan,1961,TV-14,6 Seasons,"November 12, 2021","Kids' TV, Children"
s271,TV Show,Title 271,Japan,1973,R,2 Seasons,"September 09, 2016","Kids' TV, Children"
s272,Movie,Title 272,United States,2001,PG,5 Seasons,"December 12, 2019","Kids' TV, Children"
s273,Movie,Title 273,India,1989,PG,74 min,"October 28, 2023",Action & Adventure
s274,TV Show,Title 274,India,2004,nan,69 min,"April 14, 2012","Kids' TV, Children"
s275,Movie,Title 275,United Kingdom,2020,TV-14,90 min,"October 21, 2019",Documentaries
s276,TV Show,Title 276,South Korea,1974,TV-PG,130 min,"February 17, 2016",Documentaries
s277,Movie,Title 277,us,2001,PG,4 Seasons,"August 20, 2021",Documentaries
s278,TV Show,Title 278,United Kingdom,1996,R,131 min,"March 25, 2015","Kids' TV, Children"
s279,TV Show,Title 279,,2014,nan,115 min,"February 16, 2023","Dramas, International"
s280,TV Show,Title 280,South Korea,1978,TV-PG,5 Seasons,"July 27, 2008",Action & Adventure
s281,TV Show,Title 281,United Kingdom,1962,R,6 Seasons,"December 30, 2015",Comedies
s282,Movie,Title 282,us,1973,TV-PG,3 Seasons,"November 17, 2016",Comedies
s283,Movie,Title 283,United States,1955,PG,2 Seasons,"March 29, 2013",Action & Adventure
s284,Movie,Title 284,India,1973,PG,3 Seasons,"May 07, 2012",Action & Adventure
s285,TV Show,Title 285,us,2014,TV-14,168 min,"May 09, 2022",Action & Adventure
s286,Movie,Title 286,United States,1956,TV-PG,3 Seasons,"August 24, 2023",Comedies
s287,Movie,Title 287,,1967,TV-MA,8 Seasons,"February 02, 2018",Action & Adventure
s288,Movie,Title 288,India,2002,PG-13,63 min,"December 12, 2018",Documentaries
s289,TV Show,Title 289,us,1971,TV-14,158 min,"October 19, 2023","Kids' TV, Children"
s290,TV Show,Title 290,United Kingdom,1960,TV-PG,79 min,"April 20, 2021","Dramas, International"
s291,Movie,Title 291,India,1991,PG,1 Seasons,"October 21, 2010",Documentaries
s292,Movie,Title 292,us,1968,R,94 min,"July 13, 2008","Dramas, International"
s293,TV Show,Title 293,Japan,2002,PG-13,1 Seasons,"March 08, 2019","Kids' TV, Children"
s294,TV Show,Title 294,,1961,TV-PG,121 min,"September 12, 2019",Documentaries
s295,TV Show,Title 295,Japan,1957,PG-13,145 min,"January 20, 2008","Dramas, International"
s296,tv show,Title 296,us,2011,TV-PG,169 min,"March 11, 2021","Kids' TV, Children"
s297,movie,Title 297,,1998,nan,124 min,"November 17, 2008",Comedies
s298,TV Show,Title 298,us,1992,TV-MA,144 min,"August 01, 2015",Action & Adventure
s299,TV Show,Title 299,Japan,1996,PG,141 min,"July 13, 2013",Documentaries
s300,Movie,Title 300,United States,1987,TV-PG,121 min,"February 23, 2012","Dramas, International"
s301,TV Show,Title 301,India,1994,R,170 min,"April 03, 2018",Documentaries
s302,Movie,Title 302,India,1995,TV-MA,6 Seasons,"December 31, 2015",Documentaries
s303,TV Show,Title 303,Japan,1962,TV-14,2 Seasons,"January 05, 2023",Action & Adventure
s304,TV Show,Title 304,South Korea,2011,PG-13,4 Seasons,"January 13, 2017",Comedies
s305,TV Show,Title 305,United States,2001,R,6 Seasons,"April 02, 2021","Dramas, International"
s306,Movie,Title 306,United States,1998,PG,1 Seasons,"February 16, 2015",Comedies
s307,Movie,Title 307,Japan,2024,PG-13,2 Seasons,"October 25, 2012",Comedies
s308,Movie,Title 308,,1990,TV-PG,6 Seasons,"March 24, 2013",Comedies
s309,Movie,Title 309,South Korea,2017,TV-MA,4 Seasons,"February 27, 2016","Kids' TV, Children"
